"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"1",23919.63,23082.5875833474,21286.1052124239,23484.48,23136.0185617139,19551.5280536396,23184.78,23189.5732207309,18680.6433122669,23723.85,23243.2518466913,18069.7373021488,23270.64,23297.0547265505,17594.1305789839,23676.98,23350.9821479282,17203.0136679051,24565.54,23405.0343991101,16870.1303245872,26376.78,23459.2117690487,16580.0100584384,26473.92,23513.5145473659,16322.7230530852,26826.48,23567.9430243537,16091.4950883419,27011.57,23622.4974909762,15881.4875064971,28731.52,23677.1782388709,15689.1176336665,29110.37,23731.9855603504,15511.6547992199,29340.43,23786.919748404,15346.9674789824
"2",23484.48,23974.9985425625,22390.7771301383,23184.78,24030.4952507993,20284.2314291122,23723.85,24086.1204213849,19291.2082517105,23270.64,24141.8743516807,18608.0768023495,23676.98,24197.7573397361,18081.9129011218,24565.54,24253.769684291,17652.4024238713,26376.78,24309.9116847763,17288.9083545295,26473.92,24366.1836413162,16973.5692343237,26826.48,24422.5858547297,16695.0046946425,27011.57,24479.118626532,16445.4943605375,28731.52,24535.7822589364,16219.5489386741,29110.37,24592.5770548555,16013.1199191587,29340.43,24649.5033179033,15823.1322954885,32198.69,24706.5613523965,15647.1933318648
"3",23184.78,23538.8412685664,21440.6232587103,23723.85,23593.3283711952,19952.0421091853,23270.64,23647.9415991638,19112.7026515002,23676.98,23702.6812444238,18501.2274573308,24565.54,23757.5475996027,18016.0517364452,26376.78,23812.5409580055,17612.6696881299,26473.92,23867.6616136159,17267.0152518995,26826.48,23922.9098610981,16964.4533060752,27011.57,23978.2859957985,16695.3692438966,28731.52,24033.7903137473,16453.086798986,29110.37,24089.4231116596,16232.7711761555,29340.43,24145.1846869376,16030.8033857521,32198.69,24201.0753376717,15844.4009518463,33148.12,24257.0953626426,15671.3765843864
"4",23723.85,23238.4475307366,21851.0480053909,23270.64,23292.2392896891,20197.8692645087,23676.98,23346.1555644179,19330.834199262,24565.54,23400.1966431486,18705.9084550073,26376.78,23454.3628147746,18211.2070298954,26473.92,23508.6543688575,17800.0350136307,26826.48,23563.0715956295,17447.6288919965,27011.57,23617.6147859944,17139.0562989576,28731.52,23672.2842315295,16864.5430964605,29110.37,23727.0802244871,16617.3114730214,29340.43,23782.0030577958,16392.4542200594,32198.69,23837.0530250624,16186.2969264918,33148.12,23892.2304205733,15996.0128230531,31387.02,23947.5355392962,15819.3782424201
"5",23270.64,23778.7653560683,22223.9682435201,23676.98,23833.8078287865,20486.4908682323,24565.54,23888.9777124008,19588.8300353202,26376.78,23944.2753018386,18945.1041299313,26473.92,23999.7008927103,18436.5870047088,26826.48,24055.25478131,18014.3536420478,27011.57,24110.9372646182,17652.6650520714,28731.52,24166.7486403025,17336.0755970249,29110.37,24222.6892067198,17054.5043074993,29340.43,24278.7592629173,16800.972479588,32198.69,24334.9591086346,16570.4324038628,33148.12,24391.2890443052,16359.1065068141,31387.02,24447.749371058,16164.0894497684,34310.41,24504.3403907189,15983.0960189137
"6",23676.98,23324.50627725,21612.4287330086,24565.54,23378.4972427693,20235.9929883155,26376.78,23432.6131851829,19440.661818666,26473.92,23486.8543937842,18849.0057401715,26826.48,23541.2211585362,18372.3536227533,27011.57,23595.7137700729,17971.5769918198,28731.52,23650.3325197013,17625.2257187546,29110.37,23705.0776994025,17320.0616594574,29340.43,23759.9496018336,17047.2646826949,32198.69,23814.9485203292,16800.6309393021,33148.12,23870.0747489027,16575.615661551,31387.02,23925.3285822483,16368.7819161526,34310.41,23980.710315742,16177.463104826,36058.42,24036.2202454441,15999.5461164162
"7",24565.54,23731.7868626012,22500.1449852742,26376.78,23786.7205907144,20734.2279615077,26473.92,23841.7814780046,19838.5437409283,26826.48,23896.9698188164,19195.530290319,27011.57,23952.2859081761,18685.9359048654,28731.52,24007.7300417926,18261.4382109245,29110.37,24063.3025160596,17896.7735373249,29340.43,24119.0036280566,17576.8058045841,32198.69,24174.8336755509,17291.6496935309,33148.12,24230.7929569992,17034.4498415005,31387.02,24286.8817715488,16800.2363337669,34310.41,24343.1004190396,16585.280450706,36058.42,24399.4492000056,16386.7070965952,39675.41,24455.9284156764,16202.2492001975
"8",26376.78,24622.4036783705,22962.882314374,26473.92,24679.3989833171,21107.6984559478,26826.48,24736.5262195255,20164.6699513114,27011.57,24793.7856923867,19491.223716029,28731.52,24851.1777079989,18959.7002797169,29110.37,24908.7025731685,18518.2570289552,29340.43,24966.3605954122,18139.8781489408,32198.69,25024.1520829586,17808.4457122025,33148.12,25082.0773447498,17513.4748183749,31387.02,25140.1366904429,17247.719332577,34310.41,25198.3304304119,17005.9413647459,36058.42,25256.6588757491,16784.2207930266,39675.41,25315.1223382672,16579.5411983225,40717.17,25373.7211305003,16389.5282549838
"9",26473.92,26437.836290005,24797.9306597663,26826.48,26499.0339115354,22237.7273463426,27011.57,26560.3731917416,21066.5517165396,28731.52,26621.8544585314,20264.9093709874,29110.37,26683.4780405719,19647.7165343102,29340.43,26745.2442672906,19143.6051462701,32198.69,26807.1534688778,18716.7185538144,33148.12,26869.205976288,18346.2493670748,31387.02,26931.4021212417,18018.9554771393,34310.41,26993.7422362276,17725.8465277688,36058.42,27056.2266545038,17460.5188025704,39675.41,27118.8557100997,17218.2386866739,40717.17,27181.6297378181,16995.4021170493,40413.68,27244.5490732367,16789.1979976438
"10",26826.48,26535.2011471715,23994.3793347668,27011.57,26596.6241463618,22062.3074663101,28731.52,26658.1893259264,21022.1609127001,29110.37,26719.8970149808,20275.0373105323,29340.43,26781.7475434021,19686.2872351185,32198.69,26843.7412418313,19198.8301436711,33148.12,26905.8784416746,18782.3785605624,31387.02,26968.1594751053,18418.7227912329,34310.41,27030.5846750659,18095.9836428291,36058.42,27093.1543752692,17805.9482435303,39675.41,27155.8689102006,17542.6851047013,40717.17,27218.7286151199,17301.7617583593,40413.68,27281.7338260628,17079.7738058079,38455.04,27344.8848798429,16874.0467938277
