,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,23919.63,23125.47526672363,23484.48,23169.880257873534,23184.78,23287.5242779541,23723.85,23354.59278991699,23270.64,23423.46854522705,23676.98,23510.72076538086,24565.54,23597.980950622557,26376.78,23587.099533348082,26473.92,23607.94927051544,26826.48,23679.13614490509,27011.57,23623.595075874327,28731.52,23662.50712421417,29110.37,23726.77561023712,29340.43,23838.66438129425
1,23484.48,24013.967425231935,23184.78,24057.984789733888,23723.85,24176.91313446045,23270.64,24240.55359161377,23676.98,24306.170840148927,24565.54,24392.478373413087,26376.78,24479.269236450196,26473.92,24470.77007663727,26826.48,24489.052995567323,27011.57,24562.527208213807,28731.52,24509.81515300751,29110.37,24549.542055015565,29340.43,24615.977617149354,32198.69,24729.265939598085
2,23184.78,23595.182880859375,23723.85,23639.251530151367,23270.64,23757.934986572265,23676.98,23812.269741516113,24565.54,23869.90685317993,26376.78,23953.05678604126,26473.92,24031.370964508056,26826.48,24033.679613809585,27011.57,24049.64944527626,28731.52,24117.500374536514,29110.37,24064.25985024452,29340.43,24092.867306451797,32198.69,24166.860638360977,33148.12,24262.80888817787
3,23723.85,23311.290932922362,23270.64,23353.582684783934,23676.98,23474.697140960692,24565.54,23522.741322784423,26376.78,23572.500008850096,26473.92,23652.19329193115,26826.48,23721.442185668944,27011.57,23733.224441795348,28731.52,23747.10206916809,29110.37,23810.30068519592,29340.43,23756.463931350707,32198.69,23774.346078186034,33148.12,23852.792252807616,31387.02,23931.928010253905
4,23270.64,23843.218209838866,23676.98,23883.96568069458,24565.54,24002.60481033325,26376.78,24046.64005050659,26473.92,24097.468572235106,26826.48,24178.55140457153,27011.57,24249.46462020874,28731.52,24263.774394607542,29110.37,24280.845315551756,29340.43,24344.75542602539,32198.69,24297.081899261473,33148.12,24319.57682571411,31387.02,24401.271169281004,34310.41,24486.522985076903
5,23676.98,23402.09341491699,24565.54,23442.058140411376,26376.78,23561.9812361145,26473.92,23603.772862091064,26826.48,23651.227341308593,27011.57,23729.28842224121,28731.52,23793.8135458374,29110.37,23812.30700363159,29340.43,23828.92052330017,32198.69,23890.24154533386,33148.12,23840.08061088562,31387.02,23855.77377380371,34310.41,23939.093086853027,36058.42,24013.23677886963
6,24565.54,23800.00922821045,26376.78,23839.267033081054,26473.92,23957.91579864502,26826.48,23997.794907073974,27011.57,24046.25557373047,28731.52,24125.726978759765,29110.37,24192.46279571533,29340.43,24211.56719062805,32198.69,24230.388325195312,33148.12,24292.826378326416,31387.02,24248.369541625976,34310.41,24268.73386238098,36058.42,24354.108297805786,39675.41,24435.582869033813
7,26376.78,24674.999281921388,26473.92,24712.600691833497,26826.48,24830.087653198243,27011.57,24874.98341659546,28731.52,24931.638373413087,29110.37,25013.75322631836,29340.43,25087.44968322754,32198.69,25100.665813484193,33148.12,25122.353000679017,31387.02,25186.932453193665,34310.41,25145.979373970033,36058.42,25176.561010398866,39675.41,25256.804510154725,40717.17,25352.03229335785
8,26473.92,26477.930665283202,26826.48,26517.385659484862,27011.57,26634.233979492186,28731.52,26699.79113128662,29110.37,26772.810876159667,29340.43,26856.37107208252,32198.69,26941.675133972167,33148.12,26931.928621559142,31387.02,26957.224483757018,34310.41,27025.16439464569,36058.42,26970.771316795348,39675.41,27008.144001274108,40717.17,27071.55563381195,40413.68,27178.84568813324
9,26826.48,26572.692621154783,27011.57,26613.356027526854,28731.52,26730.95391265869,29110.37,26790.212663574217,29340.43,26856.17231170654,32198.69,26942.07061187744,33148.12,27026.34965698242,31387.02,27021.155446453093,34310.41,27042.763322277067,36058.42,27111.53290693283,39675.41,27059.988103313444,40717.17,27096.64059202194,40413.68,27165.6417669487,38455.04,27274.26415769577
10,27011.57,26921.840466003418,28731.52,26963.30038116455,29110.37,27083.71754119873,29340.43,27136.563961486816,32198.69,27194.054363708496,33148.12,27279.326473693847,31387.02,27361.312763671875,34310.41,27364.288349609375,36058.42,27381.066561203002,39675.41,27451.94721458435,40717.17,27408.752436141967,40413.68,27445.473284225463,38455.04,27520.40621421814,34470.16,27629.844973068237
11,28731.52,27105.281227416992,29110.37,27147.823051757812,29340.43,27269.193413085937,32198.69,27317.256874389648,33148.12,27367.026478118896,31387.02,27451.364620513916,34310.41,27530.52672225952,36058.42,27542.70062095642,39675.41,27556.156552619934,40717.17,27628.223531074524,40413.68,27594.837189979553,38455.04,27630.955727882385,34470.16,27710.701600379944,33648.77,27818.20790988922
12,29110.37,28822.15338470459,29340.43,28865.238395233155,32198.69,28985.03428604126,33148.12,29048.158496398926,31387.02,29112.81249572754,34310.41,29197.375880737305,36058.42,29283.145480651856,39675.41,29278.976864356995,40717.17,29297.68208744049,40413.68,29370.00305606842,38455.04,29326.60089542389,34470.16,29368.108547706604,33648.77,29434.660343666077,37164.99,29547.91964389801
13,29340.43,29200.240040893554,32198.69,29243.10657989502,33148.12,29364.06169616699,31387.02,29423.492352600097,34310.41,29484.81426345825,36058.42,29569.78203689575,39675.41,29654.453835601806,40717.17,29652.29589354515,40413.68,29669.45738684654,38455.04,29743.021847600936,34470.16,29700.828827733993,33648.77,29741.921105260848,37164.99,29811.47305380821,38872.58,29925.754372472762
14,32198.69,29429.980468444825,33148.12,29473.22064178467,31387.02,29595.2956539917,34310.41,29647.878833465576,36058.42,29701.662360839844,39675.41,29786.175323181153,40717.17,29867.88782470703,40413.68,29874.01951663971,38455.04,29888.065558128357,34470.16,29962.06568019867,33648.77,29926.86750667572,37164.99,29966.549311332703,38872.58,30042.208506278992,36632.16,30154.752184562683
15,33148.12,32291.03557342529,31387.02,32333.80734008789,34310.41,32455.559911193846,36058.42,32539.156621398924,39675.41,32618.72610229492,40717.17,32701.760762634276,40413.68,32797.045606079104,38455.04,32768.027146759036,34470.16,32790.3690599823,33648.77,32863.07950157166,37164.99,32797.96461051941,38872.58,32841.57226127625,36632.16,32894.666713180544,36139.13,33016.5275453949
16,31387.02,33242.636403198245,34310.41,33287.534184570315,36058.42,33409.325841064456,39675.41,33495.12459289551,40717.17,33574.71984588623,40413.68,33658.90419494629,38455.04,33755.7391482544,34470.16,33720.04184066773,33648.77,33741.595093841555,37164.99,33816.59406387329,38872.58,33742.29322158814,36632.16,33782.94777786255,36139.13,33835.323666687014,36214.23,33958.77573883057
