,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,23919.63,23151.22539642334,23484.48,23183.31722000122,23184.78,23221.089799194335,23723.85,23288.510766296386,23270.64,23331.279408721923,23676.98,23408.046574859618,24565.54,23458.306710510253,26376.78,23553.64296081543,26473.92,23638.756135253905,26826.48,23682.64378097534,27011.57,23776.837315826415,28731.52,23823.247781066893,29110.37,23942.738625793456,29340.43,23997.93254974365
1,23484.48,24042.1566494751,23184.78,24075.82087982178,23723.85,24115.814059143067,23270.64,24184.561190490724,23676.98,24226.79926956177,24565.54,24304.750265960694,26376.78,24356.09868133545,26473.92,24452.62295806885,26826.48,24538.41628540039,27011.57,24582.65592086792,28731.52,24676.274077301026,29110.37,24723.661787872315,29340.43,24842.52103317261,32198.69,24897.061243896485
2,23184.78,23607.622219543457,23723.85,23642.247482757568,23270.64,23683.914162139892,23676.98,23753.593361358642,24565.54,23795.32260559082,26376.78,23874.012135009765,26473.92,23925.989922027587,26826.48,24023.64582107544,27011.57,24110.006538848877,28731.52,24154.982075195312,29110.37,24248.236141662597,29340.43,24296.861259918212,32198.69,24415.027840118408,33148.12,24468.89594314575
3,23723.85,23308.45896270752,23270.64,23343.968316345214,23676.98,23386.91830947876,24565.54,23457.17406967163,26376.78,23498.975831298827,26473.92,23578.27409484863,26826.48,23630.884888916014,27011.57,23729.205064086913,28731.52,23815.963555603026,29110.37,23862.079530029296,29340.43,23955.11203125,32198.69,24005.09893157959,33148.12,24122.36036804199,31387.02,24175.868443756102
4,23270.64,23847.924432373045,23676.98,23884.142720794676,24565.54,23928.07527694702,26376.78,23998.76161727905,26473.92,24040.83889541626,26826.48,24120.671575164793,27011.57,24173.820222473143,28731.52,24272.52039489746,29110.37,24359.5326171875,29340.43,24406.717126464842,32198.69,24499.62014160156,33148.12,24550.781949615477,31387.02,24667.19140396118,34310.41,24720.56898651123
5,23676.98,23394.95967163086,24565.54,23431.659165039062,26376.78,23476.098541870117,26473.92,23546.867363586425,26826.48,23589.496140136718,27011.57,23669.638542785644,28731.52,23723.19576324463,29110.37,23821.879707946777,29340.43,23908.985481872558,32198.69,23957.120087280273,33148.12,24049.995224609374,31387.02,24102.078026428222,34310.41,24217.72770751953,36058.42,24271.18002380371
6,24565.54,23801.386852722168,26376.78,23838.10908554077,26473.92,23882.57433746338,26826.48,23953.23845336914,27011.57,23996.25813720703,28731.52,24076.42246673584,29110.37,24130.034180145263,29340.43,24228.535171966552,32198.69,24315.605049591064,33148.12,24364.289768676757,31387.02,24457.272945861816,34310.41,24509.83065460205,36058.42,24625.0772366333,39675.41,24678.701515655517
7,26376.78,24689.960265197755,26473.92,24727.11341003418,26826.48,24771.98771194458,27011.57,24842.876254119874,28731.52,24886.554366149903,29110.37,24967.279601135255,29340.43,25021.31339935303,32198.69,25119.517645874024,33148.12,25206.44902709961,31387.02,25255.58141998291,34310.41,25348.489798583985,36058.42,25401.46904663086,39675.41,25516.15014556885,40717.17,25570.14835647583
8,26473.92,26501.10211303711,26826.48,26539.46689727783,27011.57,26585.774853973388,28731.52,26657.542378692626,29110.37,26701.905648498534,29340.43,26784.03756072998,32198.69,26839.042126922606,33148.12,26937.306920318602,31387.02,27024.268956451415,34310.41,27073.43438079834,36058.42,27165.745423583983,39675.41,27219.144177703856,40717.17,27332.98119857788,40413.68,27387.160924224852
9,26826.48,26598.182115478514,27011.57,26637.22270385742,28731.52,26684.615861816405,29110.37,26757.08354370117,29340.43,26801.594850463865,32198.69,26884.643220825194,33148.12,26940.16498748779,31387.02,27038.795061035155,34310.41,27125.828203125,36058.42,27174.971048278807,39675.41,27266.800920410155,40717.17,27320.563951416014,40413.68,27433.92443267822,38455.04,27488.00875274658
10,27011.57,26950.776241760253,28731.52,26990.081097106933,29110.37,27038.17635772705,29340.43,27111.150448303222,32198.69,27155.51284072876,33148.12,27239.07443283081,31387.02,27294.775860290527,34310.41,27393.88023803711,36058.42,27480.947247009277,39675.41,27530.156502227783,40717.17,27621.668625335693,40413.68,27675.813366394043,38455.04,27788.933704833984,34470.16,27842.80480239868
11,28731.52,27135.93577606201,29110.37,27175.507656402588,29340.43,27224.31383163452,32198.69,27297.77838546753,33148.12,27342.146587677,31387.02,27426.207226104736,34310.41,27482.085075683593,36058.42,27581.63182861328,39675.41,27668.693336791992,40717.17,27718.18281967163,40413.68,27809.43418533325,38455.04,27864.203682250976,34470.16,27976.88716156006,33648.77,28030.605850524902
12,29110.37,28855.804019470215,29340.43,28895.67051651001,32198.69,28945.07910873413,33148.12,29018.86136581421,31387.02,29063.10030319214,34310.41,29147.51798965454,36058.42,29203.567412872315,39675.41,29303.629676361084,40717.17,29390.908103485108,40413.68,29440.57853652954,38455.04,29531.484542388916,34470.16,29586.360461730957,33648.77,29699.08549835205,37164.99,29752.534266967774
13,29340.43,29234.377568359374,32198.69,29275.047043914794,33148.12,29325.779587860106,31387.02,29400.049836273192,34310.41,29444.740334625243,36058.42,29529.98657333374,39675.41,29586.653531188964,40717.17,29687.300030822753,40413.68,29774.810422058104,38455.04,29825.08146774292,34470.16,29915.36430465698,33648.77,29970.734246368407,37164.99,30083.08097946167,38872.58,30136.377381439208
14,32198.69,29464.34766357422,33148.12,29505.41540878296,31387.02,29557.155379943848,34310.41,29631.74317138672,36058.42,29676.651279144287,39675.41,29762.410724334717,40717.17,29819.343665771485,40413.68,29920.631919555664,38455.04,30008.357169799805,34470.16,30059.20975845337,33648.77,30149.08693283081,37164.99,30204.966792755127,38872.58,30317.013492279053,36632.16,30370.068870239258
15,33148.12,32321.927197875975,31387.02,32364.048596801757,34310.41,32417.125104370116,36058.42,32491.954289855956,39675.41,32536.944020690917,40717.17,32622.949841918944,40413.68,32680.547746124266,38455.04,32782.80331558228,34470.16,32871.4515776062,33648.77,32922.76035827637,37164.99,33011.93439239502,38872.58,33067.684735717776,36632.16,33180.05334228516,36139.13,33232.670995178225
16,31387.02,33270.41033660889,34310.41,33314.12399780274,36058.42,33369.04338562012,39675.41,33444.172146911624,40717.17,33489.376973266604,40413.68,33575.499905700686,38455.04,33634.11020767212,34470.16,33737.6717616272,33648.77,33827.64211380005,37164.99,33879.73181640625,38872.58,33968.084004516604,36632.16,34023.88240921021,36139.13,34136.54892837525,36214.23,34188.651833648684
17,34310.41,31509.261821289063,36058.42,31553.47171737671,39675.41,31609.4436869812,40717.17,31684.590568084717,40413.68,31729.761340637207,38455.04,31815.693393249512,34470.16,31874.475249786377,33648.77,31979.12764694214,37164.99,32069.978011627198,38872.58,32122.931911010743,36632.16,32211.08443786621,36139.13,32267.444243927002,36214.23,32379.951980133057,36464.9,32431.477767486573
18,36058.42,34432.2425958252,39675.41,34477.2753793335,40717.17,34534.403637084964,40413.68,34609.616985473636,38455.04,34654.79859176636,34470.16,34740.50818649292,33648.77,34799.69841400147,37164.99,34905.394191894535,38872.58,34997.31774536133,36632.16,35051.05242935181,36139.13,35138.90192428589,36214.23,35195.5220262146,36464.9,35308.101013336185,36686.14,35359.19874969483
19,39675.41,36179.48072235107,40717.17,36225.6091670227,40413.68,36284.076352996824,38455.04,36359.382154388426,34470.16,36404.4358996582,33648.77,36489.68537322998,37164.99,36549.43688766479,38872.58,36656.45635025024,36632.16,36749.847181243895,36139.13,36804.35838119507,36214.23,36891.8275050354,36464.9,36948.504365844725,36686.14,37061.4139956665,35008.44,37111.99745742798
20,40717.17,39794.78984466553,40413.68,39842.59254852295,38455.04,39903.178859863285,34470.16,39978.31483093262,33648.77,40022.89812866211,37164.99,40107.45111480713,38872.58,40168.163166198734,36632.16,40277.164295349125,36139.13,40373.49768463135,36214.23,40428.77867523194,36464.9,40515.30936065674,36686.14,40571.273864898685,35008.44,40684.92690292359,30856.84,40734.53032699585
21,40413.68,40835.14908782959,38455.04,40884.2824420166,34470.16,40947.07895462036,33648.77,41021.7655619812,37164.99,41065.47904769897,38872.58,41148.957059783934,36632.16,41210.32888595581,36139.13,41321.670644683836,36214.23,41421.41086380005,36464.9,41477.66460983276,36686.14,41563.45463363647,35008.44,41618.67493621826,30856.84,41733.16098205566,32875.82,41781.4944972229
22,38455.04,40530.96649902344,34470.16,40580.81493728638,33648.77,40645.715694122315,37164.99,40720.122249298096,38872.58,40763.077132873535,36632.16,40845.44445770264,36139.13,40907.00817077637,36214.23,41020.53592651367,36464.9,41122.95949523926,36686.14,41180.64725463867,35008.44,41266.22999542236,30856.84,41321.795100860596,32875.82,41436.422053985596,32085.94,41483.82566040039
23,34470.16,38572.62911895752,33648.77,38622.21429351807,37164.99,38688.23049072266,38872.58,38762.729544677735,36632.16,38805.06738571167,36139.13,38886.57720474243,36214.23,38947.77833465576,36464.9,39062.69097808838,36686.14,39166.15672973633,35008.44,39225.47381500244,30856.84,39311.56031707764,32875.82,39368.880980529786,32085.94,39482.62692932129,32180.86,39529.63518814087
24,33648.77,34588.871174011234,37164.99,34636.897037658695,38872.58,34702.51857391358,36632.16,34775.48424163819,36139.13,34816.424297485355,36214.23,34896.62273803711,36464.9,34957.04871765137,36686.14,35073.10515228272,35008.44,35177.7582208252,30856.84,35237.797790679935,32875.82,35324.550567779545,32085.94,35383.085792694095,32180.86,35495.16360488892,32487.45,35540.225692901615
25,37164.99,33768.51317169189,38872.58,33814.664073486325,36632.16,33878.967700500485,36139.13,33950.012439270016,36214.23,33990.09047271728,36464.9,34068.92367889404,36686.14,34128.44631149292,35008.44,34244.366973419186,30856.84,34349.81355239868,32875.82,34409.423770446774,32085.94,34497.106189270016,32180.86,34556.01939346313,32487.45,34666.13790847778,32736.06,34709.74715377807
26,38872.58,37285.45184539795,36632.16,37330.164015045164,36139.13,37392.71101211548,36214.23,37463.104444732664,36464.9,37503.29051422119,36686.14,37582.25662445068,35008.44,37641.46891998291,30856.84,37755.55703186035,32875.82,37859.754678955076,32085.94,37918.74019073486,32180.86,38007.22392486572,32487.45,38066.465044250486,32736.06,38175.44708465576,30600.35,38219.665533294676
27,36632.16,38993.27528198242,36139.13,39037.173048095705,36214.23,39098.36771209717,36464.9,39168.94248779297,36686.14,39209.89117630005,35008.44,39289.9696522522,30856.84,39349.14491088867,32875.82,39460.85651977539,32085.94,39563.080862121584,32180.86,39621.07409866333,32487.45,39709.80854232788,32736.06,39768.9120350647,30600.35,39877.3341847229,33536.97,39923.03710372925
28,36139.13,36753.63644042969,36214.23,36796.379905853275,36464.9,36855.33259216309,36686.14,36926.067836914066,35008.44,36967.67762771607,30856.84,37048.51461807251,32875.82,37107.02013412476,32085.94,37216.185150299076,32180.86,37315.99810043335,32487.45,37372.66228118897,32736.06,37462.02477661133,30600.35,37520.89962402344,33536.97,37629.00825134278,34488.23,37676.20669952393
29,36214.23,36261.29618347168,36464.9,36302.82165420532,36686.14,36359.22748840332,35008.44,36429.869067077634,30856.84,36472.33127487182,32875.82,36553.48593795776,32085.94,36611.086462860105,32180.86,36717.602476959226,32487.45,36815.15669906616,32736.06,36870.41541946411,30600.35,36960.55565536499,33536.97,37019.04418838501,34488.23,37126.92664993286,34601.79,37175.70959747314
30,36464.9,36336.735172729495,36686.14,36377.235214691165,35008.44,36431.11665771485,30856.84,36501.46088073731,32875.82,36545.1150440979,32085.94,36626.337852935794,32180.86,36683.161274414066,32487.45,36786.96374176026,32736.06,36882.47933624268,30600.35,36936.58762405396,33536.97,37027.499527435306,34488.23,37085.41720245362,34601.79,37193.27878997803,33006.07,37243.8481640625
31,36686.14,36587.78498687744,35008.44,36627.195780181886,30856.84,36678.2418006897,32875.82,36748.11297836304,32085.94,36792.78440704346,32180.86,36873.883840942384,32487.45,36929.861349487306,32736.06,37031.0576461792,30600.35,37124.550390625,33536.97,37177.45547332764,34488.23,37269.17732849121,34601.79,37326.01519622803,33006.07,37434.41162719727,33561.36,37486.62550201416
32,35008.44,36809.17835296631,30856.84,36847.848698272704,32875.82,36896.48351348877,32085.94,36965.994469299316,32180.86,37011.737118377685,32487.45,37092.744290008544,32736.06,37148.12627090454,30600.35,37246.9905821228,33536.97,37338.74470199585,34488.23,37390.74428237915,34601.79,37483.16379989624,33006.07,37538.9518019104,33561.36,37647.93140090942,35629.27,37701.775677337646
33,30856.84,35131.48426574707,32875.82,35169.01927703858,32085.94,35215.17936843872,32180.86,35283.7822203064,32487.45,35330.22826904297,32736.06,35410.626241149905,30600.35,35465.24155563355,33536.97,35562.20745986939,34488.23,35652.72787612915,34601.79,35703.55259841919,33006.07,35796.56810134888,33561.36,35851.09731048584,35629.27,35960.72037261963,37315.17,36015.5262159729
34,32875.82,30980.05460723877,32085.94,31015.139324035645,32180.86,31058.625808563233,32487.45,31124.599380340576,32736.06,31169.71566757202,30600.35,31248.454978790283,33536.97,31301.985526885986,34488.23,31399.068618621826,34601.79,31490.11876663208,33006.07,31538.24744781494,33561.36,31631.60734161377,35629.27,31683.354492034912,37315.17,31793.611060943604,37293.47,31846.190860595703
35,32085.94,32999.12830383301,32180.86,33031.78826553345,32487.45,33072.57867462158,32736.06,33136.684265441894,30600.35,33180.84474975586,33536.97,33258.08874542236,34488.23,33310.10779602051,34601.79,33406.628837890625,33006.07,33497.58787567139,33561.36,33543.58264953613,35629.27,33637.61975891113,37315.17,33687.3046534729,37293.47,33798.010563201904,37839.97,33849.77038604736
36,32180.86,32209.372579040526,32487.45,32239.30359977722,32736.06,32277.19721168518,30600.35,32339.579364242552,33536.97,32382.615519943236,34488.23,32458.385943832396,34601.79,32508.571715774535,33006.07,32604.511908950804,33561.36,32695.089011611937,35629.27,32739.13793128967,37315.17,32833.92302650452,37293.47,32881.571902694704,37839.97,32992.982028427126,40060.73,33044.126311721804
37,32487.45,32304.304564819337,32736.06,32331.523753509522,30600.35,32366.64542327881,33536.97,32427.48967300415,34488.23,32469.5112298584,34601.79,32543.958686218262,33006.07,32592.276622161866,33561.36,32687.748706207276,35629.27,32777.73369918823,37315.17,32820.364081726075,37293.47,32915.901275024415,37839.97,32961.728228912354,40060.73,33073.993029937745,38828.27,33124.7207749939
38,32736.06,32610.76330871582,30600.35,32635.46263999939,33536.97,32668.002911758424,34488.23,32727.578229141236,34601.79,32768.65088386535,33006.07,32841.83604164123,33561.36,32888.320874404904,35629.27,32983.50985450744,37315.17,33072.72482795715,37293.47,33114.22318382263,37839.97,33210.42317314148,40060.73,33254.586331558225,38828.27,33368.092343521115,44667.93,33418.51533241272
39,30600.35,32859.20042663574,33536.97,32882.348478851316,34488.23,32913.00200325012,34601.79,32971.98796897888,33006.07,33012.61372047424,33561.36,33085.11440711975,35629.27,33130.305931625364,37315.17,33225.146568832395,37293.47,33313.57118278503,37839.97,33354.54736763,40060.73,33451.21612220764,38828.27,33494.186634597776,44667.93,33608.824039993284,46880.5,33659.39652305603
40,33536.97,30723.449281311034,34488.23,30744.72858390808,34601.79,30773.58582267761,33006.07,30831.660522079466,33561.36,30871.400531387328,35629.27,30942.848872756957,37315.17,30986.637179946898,37293.47,31081.51403388977,37839.97,31169.537143325804,40060.73,31209.80316505432,38828.27,31306.95214424133,44667.93,31348.87877616882,46880.5,31464.35493431091,45229.53,31514.515239334105
41,34488.23,33659.83991882324,34601.79,33680.23109313965,33006.07,33708.149082870485,33561.36,33766.2108657074,35629.27,33805.30996009827,37315.17,33876.35133430481,37293.47,33919.39089653015,37839.97,34014.19096824646,40060.73,34101.60165855408,38828.27,34141.123341293336,44667.93,34238.451077194215,46880.5,34279.42740699768,45229.53,34396.06663581848,47709.69,34446.3821837616
42,34601.79,34610.8218045044,33006.07,34630.81144950867,33561.36,34658.412554245,35629.27,34717.075422744754,37315.17,34755.28831718445,37293.47,34826.00425193787,37839.97,34868.53286216736,40060.73,34963.52553031922,38828.27,35050.28553245545,44667.93,35088.90016410828,46880.5,35186.22215507508,45229.53,35226.48628089905,47709.69,35344.66680763245,47951.53,35395.220106582645
43,33006.07,34724.15689758301,33561.36,34744.67581085205,35629.27,34772.7893019104,37315.17,34832.59113220215,37293.47,34870.42868713379,37839.97,34941.254462280274,40060.73,34983.850958862306,38828.27,35079.03333190918,44667.93,35165.30892089844,46880.5,35203.66711715698,45229.53,35300.870699920655,47709.69,35341.1913710022,47951.53,35460.42036727905,47141.16,35511.52907470703
44,33561.36,33128.41280395508,35629.27,33149.37574417114,37315.17,33177.80649406433,37293.47,33238.33537513733,37839.97,33276.07623512268,40060.73,33346.831125564575,38828.27,33389.411775894165,44667.93,33484.80893928528,46880.5,33570.760393447876,45229.53,33609.420744247436,47709.69,33706.56629020691,47951.53,33747.34003288269,47141.16,33867.267454452514,49113.17,33918.663812942505
45,35629.27,33683.60215698242,37315.17,33704.21602760315,37293.47,33732.41209541321,37839.97,33793.28918586731,40060.73,33830.428506240845,38828.27,33900.52018104553,44667.93,33942.49161659241,46880.5,34038.361932144166,45229.53,34124.02027259827,47709.69,34162.72726951599,47951.53,34259.98770652771,47141.16,34300.946210250855,49113.17,34421.91598258972,48259.33,34473.25271736145
46,37315.17,35751.48412658691,37293.47,35773.02746154785,37839.97,35802.152635116574,40060.73,35864.17894126892,38828.27,35901.19368507385,44667.93,35971.554181594845,46880.5,36013.88401557922,45229.53,36110.00810768127,47709.69,36195.50246192932,47951.53,36234.23874046325,47141.16,36331.2732787323,49113.17,36372.79915382385,48259.33,36494.264058609006,49134.75,36546.00666191101
47,37293.47,37437.57531158447,37839.97,37461.82189361572,40060.73,37493.518833084105,38828.27,37557.44236366272,44667.93,37595.01685707092,46880.5,37667.089954299925,45229.53,37711.226520462034,47709.69,37807.556095046995,47951.53,37893.32207862854,47141.16,37932.40671150207,49113.17,38028.67471687317,48259.33,38071.13210670471,49134.75,38192.23467628479,52142.73,38244.50343315124
48,37839.97,37416.14918395996,40060.73,37441.384907455446,38828.27,37474.76503059387,44667.93,37539.99119636536,46880.5,37576.67409965515,45229.53,37649.25710746765,47709.69,37693.895035476686,47951.53,37791.40962287903,47141.16,37877.57368537903,49113.17,37916.656712265016,48259.33,38012.500698776246,49134.75,38055.683525772096,52142.73,38177.009545059205,51876.35,38228.79661628723
49,40060.73,37963.11266204834,38828.27,37989.74457809448,44667.93,38025.21256134033,46880.5,38091.81746551514,45229.53,38128.05472442627,47709.69,38201.58312866211,47951.53,38247.122603149415,47141.16,38345.73944732666,49113.17,38432.34091827393,48259.33,38471.992483825685,49134.75,38567.335592956544,52142.73,38611.74367782593,51876.35,38732.6987940979,55466.76,38784.0853793335
50,38828.27,40184.15823791504,44667.93,40212.11721084595,46880.5,40249.680752258304,45229.53,40317.64432952881,47709.69,40352.95759628296,47951.53,40427.210411529544,47141.16,40473.532467346195,49113.17,40573.81269500733,48259.33,40661.305836181644,49134.75,40701.31143615723,52142.73,40796.12111328125,51876.35,40841.36828277588,55466.76,40962.242428283695,55509.93,41012.734364013675
