,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,23919.63,23013.336495666503,23484.48,23153.05707672119,23184.78,23083.470071105956,23723.85,23139.333718566893,23270.64,23185.98733642578,23676.98,23154.0142338562,24565.54,23326.822919158934,26376.78,23349.25378349304,26473.92,23572.801421432494,26826.48,23647.228850631713,27011.57,23718.51917198181,28731.52,23782.1292565155,29110.37,23847.47531059265,29340.43,23775.0334160614
1,23484.48,23903.686495666505,23184.78,24043.407076721192,23723.85,23973.820071105958,23270.64,24029.683718566896,23676.98,24076.337336425782,24565.54,24044.364233856202,26376.78,24217.172919158937,26473.92,24239.603783493043,26826.48,24463.151421432496,27011.57,24537.578850631715,28731.52,24608.869171981813,29110.37,24672.479256515504,29340.43,24737.825310592652,32198.69,24665.383416061402
2,23184.78,23468.536495666503,23723.85,23608.25707672119,23270.64,23538.670071105957,23676.98,23594.533718566894,24565.54,23641.18733642578,26376.78,23609.2142338562,26473.92,23782.022919158935,26826.48,23804.45378349304,27011.57,24028.001421432495,28731.52,24102.428850631713,29110.37,24173.71917198181,29340.43,24237.329256515502,32198.69,24302.67531059265,33148.12,24230.2334160614
3,23723.85,23168.836495666503,23270.64,23308.55707672119,23676.98,23238.970071105956,24565.54,23294.833718566893,26376.78,23341.48733642578,26473.92,23309.5142338562,26826.48,23482.322919158934,27011.57,23504.75378349304,28731.52,23728.301421432494,29110.37,23802.728850631713,29340.43,23874.01917198181,32198.69,23937.6292565155,33148.12,24002.97531059265,31387.02,23930.5334160614
4,23270.64,23707.906495666502,23676.98,23847.62707672119,24565.54,23778.040071105956,26376.78,23833.903718566893,26473.92,23880.55733642578,26826.48,23848.5842338562,27011.57,24021.392919158934,28731.52,24043.82378349304,29110.37,24267.371421432494,29340.43,24341.798850631712,32198.69,24413.08917198181,33148.12,24476.6992565155,31387.02,24542.04531059265,34310.41,24469.6034160614
5,23676.98,23254.696495666503,24565.54,23394.41707672119,26376.78,23324.830071105956,26473.92,23380.693718566894,26826.48,23427.34733642578,27011.57,23395.3742338562,28731.52,23568.182919158935,29110.37,23590.61378349304,29340.43,23814.161421432495,32198.69,23888.588850631713,33148.12,23959.87917198181,31387.02,24023.489256515502,34310.41,24088.83531059265,36058.42,24016.3934160614
6,24565.54,23661.036495666503,26376.78,23800.75707672119,26473.92,23731.170071105957,26826.48,23787.033718566894,27011.57,23833.68733642578,28731.52,23801.7142338562,29110.37,23974.522919158935,29340.43,23996.95378349304,32198.69,24220.501421432495,33148.12,24294.928850631713,31387.02,24366.21917198181,34310.41,24429.829256515502,36058.42,24495.17531059265,39675.41,24422.7334160614
7,26376.78,24549.596495666505,26473.92,24689.317076721192,26826.48,24619.730071105958,27011.57,24675.593718566895,28731.52,24722.247336425782,29110.37,24690.274233856202,29340.43,24863.082919158936,32198.69,24885.513783493043,33148.12,25109.061421432496,31387.02,25183.488850631715,34310.41,25254.779171981812,36058.42,25318.389256515504,39675.41,25383.735310592652,40717.17,25311.293416061402
8,26473.92,26360.836495666503,26826.48,26500.55707672119,27011.57,26430.970071105956,28731.52,26486.833718566893,29110.37,26533.48733642578,29340.43,26501.5142338562,32198.69,26674.322919158934,33148.12,26696.75378349304,31387.02,26920.301421432494,34310.41,26994.728850631713,36058.42,27066.01917198181,39675.41,27129.6292565155,40717.17,27194.97531059265,40413.68,27122.5334160614
9,26826.48,26457.976495666502,27011.57,26597.69707672119,28731.52,26528.110071105955,29110.37,26583.973718566893,29340.43,26630.62733642578,32198.69,26598.6542338562,33148.12,26771.462919158934,31387.02,26793.89378349304,34310.41,27017.441421432493,36058.42,27091.868850631712,39675.41,27163.15917198181,40717.17,27226.7692565155,40413.68,27292.11531059265,38455.04,27219.6734160614
10,27011.57,26810.536495666503,28731.52,26950.25707672119,29110.37,26880.670071105957,29340.43,26936.533718566894,32198.69,26983.18733642578,33148.12,26951.2142338562,31387.02,27124.022919158935,34310.41,27146.45378349304,36058.42,27370.001421432495,39675.41,27444.428850631713,40717.17,27515.71917198181,40413.68,27579.329256515502,38455.04,27644.67531059265,34470.16,27572.2334160614
11,28731.52,26995.626495666504,29110.37,27135.34707672119,29340.43,27065.760071105957,32198.69,27121.623718566894,33148.12,27168.27733642578,31387.02,27136.3042338562,34310.41,27309.112919158935,36058.42,27331.54378349304,39675.41,27555.091421432495,40717.17,27629.518850631714,40413.68,27700.80917198181,38455.04,27764.419256515503,34470.16,27829.76531059265,33648.77,27757.3234160614
12,29110.37,28715.576495666504,29340.43,28855.297076721192,32198.69,28785.710071105957,33148.12,28841.573718566895,31387.02,28888.22733642578,34310.41,28856.2542338562,36058.42,29029.062919158936,39675.41,29051.493783493042,40717.17,29275.041421432496,40413.68,29349.468850631714,38455.04,29420.759171981812,34470.16,29484.369256515503,33648.77,29549.71531059265,37164.99,29477.2734160614
13,29340.43,29094.426495666503,32198.69,29234.14707672119,33148.12,29164.560071105956,31387.02,29220.423718566894,34310.41,29267.07733642578,36058.42,29235.1042338562,39675.41,29407.912919158935,40717.17,29430.34378349304,40413.68,29653.891421432494,38455.04,29728.318850631713,34470.16,29799.60917198181,33648.77,29863.219256515502,37164.99,29928.56531059265,38872.58,29856.1234160614
14,32198.69,29324.486495666504,33148.12,29464.20707672119,31387.02,29394.620071105957,34310.41,29450.483718566895,36058.42,29497.13733642578,39675.41,29465.1642338562,40717.17,29637.972919158936,40413.68,29660.403783493042,38455.04,29883.951421432495,34470.16,29958.378850631714,33648.77,30029.66917198181,37164.99,30093.279256515503,38872.58,30158.62531059265,36632.16,30086.1834160614
15,33148.12,32182.746495666503,31387.02,32322.46707672119,34310.41,32252.880071105956,36058.42,32308.743718566893,39675.41,32355.39733642578,40717.17,32323.4242338562,40413.68,32496.232919158934,38455.04,32518.66378349304,34470.16,32742.211421432494,33648.77,32816.638850631716,37164.99,32887.929171981814,38872.58,32951.539256515505,36632.16,33016.885310592654,36139.13,32944.443416061404
