"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"1",0.78374,0.78335,0.783109424906487,0.78744,0.78335,0.782863284672908,0.78476,0.78335,0.782613396989427,0.7859,0.78335,0.782361600878552,0.78185,0.78335,0.782109096983386,0.77787,0.78335,0.781856690335874,0.77473,0.78335,0.781604945061803,0.77825,0.78335,0.781354271137542,0.77945,0.78335,0.781104974905156,0.77834,0.78335,0.780857290068502,0.78004,0.78335,0.780611397648242,0.78399,0.78335,0.780367439367093,0.78576,0.78335,0.780125526944638,0.78223,0.78335,0.77988574874348
"2",0.78744,0.78374,0.7834966208884,0.78476,0.78374,0.78324416623209,0.7859,0.78374,0.782988042874369,0.78185,0.78374,0.782730364388012,0.77787,0.78374,0.782472306076185,0.77473,0.78374,0.782214619003927,0.77825,0.78374,0.781957820676147,0.77945,0.78374,0.781702284891566,0.77834,0.78374,0.781448290363894,0.78004,0.78374,0.781196049553326,0.78399,0.78374,0.780945726926015,0.78576,0.78374,0.78069745111016,0.78223,0.78374,0.780451323313566,0.78897,0.78374,0.780207423341288
"3",0.78476,0.78744,0.787203477661344,0.7859,0.78744,0.786929891986388,0.78185,0.78744,0.786643729204812,0.77787,0.78744,0.786351889999136,0.77473,0.78744,0.78605744767292,0.77825,0.78744,0.785762092157679,0.77945,0.78744,0.785466871599141,0.77834,0.78744,0.785172487701371,0.78004,0.78744,0.784879435104062,0.78399,0.78744,0.78458807531899,0.78576,0.78744,0.784298679461059,0.78223,0.78744,0.784011454615203,0.78897,0.78744,0.783726560967142,0.78895,0.78744,0.783444123406511
"4",0.7859,0.78476,0.784477108525798,0.78185,0.78476,0.784202277102083,0.77787,0.78476,0.783928580892749,0.77473,0.78476,0.783655552937274,0.77825,0.78476,0.783383446639084,0.77945,0.78476,0.783112584691262,0.77834,0.78476,0.782843251467364,0.78004,0.78476,0.782575679809156,0.78399,0.78476,0.782310056577865,0.78576,0.78476,0.782046530935735,0.78223,0.78476,0.781785221791825,0.78897,0.78476,0.781526223823277,0.78895,0.78476,0.781269612199255,0.78814,0.78476,0.781015446265203
"5",0.78185,0.7859,0.78563104326196,0.77787,0.7859,0.785351200989988,0.77473,0.7859,0.785068059817786,0.77825,0.7859,0.784783933402958,0.77945,0.7859,0.784499979908263,0.77834,0.7859,0.784216905450369,0.78004,0.7859,0.783935185423034,0.78399,0.7859,0.783655158821991,0.78576,0.7859,0.783377076297317,0.78223,0.7859,0.783101127627975,0.78897,0.7859,0.782827458740844,0.78895,0.7859,0.782556182890462,0.78814,0.7859,0.782287388340021,0.78748,0.7859,0.782021143829064
"6",0.77787,0.78185,0.781555621261228,0.77473,0.78185,0.781289804688129,0.77825,0.78185,0.781033513019383,0.77945,0.78185,0.780782441335448,0.77834,0.78185,0.780535080191221,0.78004,0.78185,0.78029078653866,0.78399,0.78185,0.780049256140144,0.78576,0.78185,0.779810336206024,0.78223,0.78185,0.779573947398313,0.78897,0.78185,0.779340047732702,0.78895,0.78185,0.779108614591194,0.78814,0.78185,0.778879635281335,0.78748,0.78185,0.778653101903816,0.78234,0.78185,0.778429008504311
"7",0.77473,0.77787,0.777589914468634,0.77825,0.77787,0.777350352318349,0.77945,0.77787,0.77712622853825,0.77834,0.77787,0.776910721795335,0.78004,0.77787,0.776701036212783,0.78399,0.77787,0.776495781279226,0.78576,0.77787,0.776294179667375,0.78223,0.77787,0.776095760400463,0.78897,0.77787,0.775900220270864,0.78895,0.77787,0.775707354257861,0.78814,0.77787,0.775517017764095,0.78748,0.77787,0.775329104861475,0.78234,0.77787,0.775143535154963,0.78652,0.77787,0.774960245542415
"8",0.77825,0.77473,0.774479275404304,0.77945,0.77473,0.774268034416117,0.77834,0.77473,0.774073332928306,0.78004,0.77473,0.773888256269485,0.78399,0.77473,0.773709745541768,0.78576,0.77473,0.773536181949343,0.78223,0.77473,0.773366610885253,0.78897,0.77473,0.773200425934852,0.78895,0.77473,0.773037219866359,0.78814,0.77473,0.772876706892702,0.78748,0.77473,0.772718678979998,0.78234,0.77473,0.772562979840521,0.78652,0.77473,0.772409488728119,0.7874,0.77473,0.772258109957508
"9",0.77945,0.77825,0.7780540866777,0.77834,0.77825,0.777842879302213,0.78004,0.77825,0.777630808171753,0.78399,0.77825,0.77742026641119,0.78576,0.77825,0.77721184308606,0.78223,0.77825,0.77700569684071,0.78897,0.77825,0.776801860929749,0.78895,0.77825,0.776600329062485,0.78814,0.77825,0.776401082789796,0.78748,0.77825,0.776204100711273,0.78234,0.77825,0.776009361492856,0.78652,0.77825,0.775816844688113,0.7874,0.77825,0.775626530791201,0.79104,0.77825,0.77543840105121
"10",0.77834,0.77945,0.779244597101358,0.78004,0.77945,0.779026533027599,0.78399,0.77945,0.778806106549999,0.78576,0.77945,0.778585928385622,0.78223,0.77945,0.778366976431357,0.78897,0.77945,0.778149697193685,0.78895,0.77945,0.777934321889411,0.78814,0.77945,0.777720980955173,0.78748,0.77945,0.777509752267785,0.78234,0.77945,0.77730068379902,0.78652,0.77945,0.77709380521386,0.7874,0.77945,0.776889134246269,0.79104,0.77945,0.776686680425839,0.78534,0.77945,0.776486447377621
