"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"1",663.87,655.571123491408,637.998197655531,635.82,660.91643058321,609.685135366839,617.46,665.376132854549,574.978714752935,629.65,669.089279222367,553.099997362548,583.82,672.284283021907,536.028270142867,612.44,675.229475628968,523.209598608429,621.86,677.975028998244,512.641357652452,633.46,680.562706771573,503.58859505712,686.38,683.032356212845,495.647102606776,725.51,685.420260831774,488.562804259754,728.62,687.750718703703,482.163263581782,745.76,690.0406404226,476.325167097878,740.92,692.302418629893,470.956844391534,730.81,694.545397696355,465.988059043766
"2",635.82,669.430784335398,647.963249645722,617.46,674.091674612844,618.794515281531,629.65,678.092448558113,595.415079769551,583.82,681.847017199727,571.605533587709,612.44,685.143893995477,549.624978133469,621.86,688.123280385195,534.907608721443,633.46,690.883829911672,523.163446355642,686.38,693.498433557724,513.26810385904,725.51,696.003267319165,504.676213479123,728.62,698.427904087272,497.066361798069,745.76,700.795463024209,490.228702795413,740.92,703.12343803496,484.01698621167,730.81,705.424263261517,478.324468221452,772.68,707.706991623467,473.070482582193
"3",617.46,639.668186504599,601.121881286906,629.65,642.902997784136,574.969697452089,583.82,645.530235035581,551.908539914713,612.44,646.6415266458,533.083673590384,621.86,648.25183624659,522.531795691771,633.46,650.103231516204,512.70314448501,686.38,652.044840647401,504.058338289331,725.51,653.98466037782,496.378032994202,728.62,655.952774887542,489.473680320964,745.76,657.951803986648,483.203736977891,740.92,659.975128678975,477.461781132043,730.81,662.015436934004,472.166269029323,772.68,664.069846598172,467.253433858682,993.13,666.136645328752,462.672469278859
"4",629.65,620.197684248929,599.080720485979,583.82,622.359224483616,579.942058315749,612.44,622.813627374565,560.267506255654,621.86,623.036809223699,545.685529829551,633.46,624.022949321866,530.028350802445,686.38,625.392369107968,518.729153359928,725.51,626.910873611249,509.317429647822,728.62,628.523758745931,501.15037631445,745.76,630.234807797518,493.902468031307,740.92,632.024945805495,487.372932167924,730.81,633.871904323855,481.425256472791,772.68,635.760374771924,475.960900265781,993.13,637.681200206381,470.905732570593,1014.43,639.627750500765,466.202246963126
"5",583.82,632.012275858732,625.882536406644,612.44,632.635923849979,614.223348504213,621.86,633.13092739922,598.445638003311,633.46,634.7111967614,574.431393537658,686.38,636.45007978001,551.719908094058,725.51,638.21124055862,537.159428894676,728.62,640.002607091204,525.652803877458,745.76,641.864539788745,515.97864959651,740.92,643.777062770248,507.575167857293,730.81,645.72305928567,500.12153459289,772.68,647.693608207023,493.412232683173,993.13,649.68486846958,487.305667016417,1014.43,651.693373235134,481.699197203856,1112.74,653.716181992046,476.515559768835
"6",612.44,583.582981571198,552.137669677812,621.86,583.254843063186,526.274979429046,633.46,583.412480217259,504.916725705475,686.38,582.221925235581,493.054694181124,725.51,582.170567769064,492.824716526772,728.62,582.770210204722,487.991979424546,745.76,583.750518950657,482.703712823049,740.92,584.917874878604,477.512601292868,730.81,586.259092239586,472.554428651535,772.68,587.739297683515,467.859401524532,993.13,589.323033149454,463.423874807662,1014.43,590.980907098688,459.23276785393,1112.74,592.694537067904,455.267701861844,1179.78,594.450950329817,451.51015963982
"7",621.86,612.614451832033,616.832685966641,633.46,613.281596954153,611.479935704921,686.38,612.85840400504,597.544648143013,725.51,614.588875661367,582.711078780951,728.62,616.290361632085,554.847820879031,745.76,617.993604477693,539.27512529093,740.92,619.690929973032,527.410085042998,730.81,621.481419989962,517.594150628314,772.68,623.326564672311,509.139420684573,993.13,625.206045371583,501.676482595089,1014.43,627.109349146831,494.978060251667,1112.74,629.033949652862,488.891905220096,1179.78,630.976250771704,483.309870324971,1244.42,632.93307563654,478.151760681775
"8",633.46,622.700931132929,619.131911084325,686.38,622.429271885876,606.576581637175,725.51,624.448825837123,591.554925219779,728.62,626.742971246186,562.184230532102,745.76,628.813645096166,544.735507089894,740.92,630.751905541339,532.019386139833,730.81,632.720630972054,521.651731830214,772.68,634.716299613132,512.796562786314,993.13,636.717638213831,505.024616838612,1014.43,638.719359422535,498.078054851484,1112.74,640.725410164309,491.786898307476,1179.78,642.737495142559,486.031826800036,1244.42,644.755595240739,480.725176109075,1217.07,646.779556614096,475.800266902765
"9",686.38,633.374082980677,628.212130884015,725.51,635.61370380207,617.096613976327,728.62,638.255178864786,586.553381408156,745.76,641.02513732506,565.264118312912,740.92,643.397166735441,547.321561547413,730.81,645.652613884255,534.579751314569,772.68,647.860356057187,524.181673725243,993.13,650.040353471697,515.287766344745,1014.43,652.186473213979,507.47416233451,1112.74,654.309063495921,500.48594520217,1179.78,656.417488153302,494.154438939725,1244.42,658.518008133387,488.360832257508,1217.07,660.614231133172,483.017599148992,1291.12,662.708921602011,478.058029599163
"10",725.51,689.779535738715,706.745306302868,728.62,693.590451333492,690.805513765551,745.76,698.171178019922,666.142975023951,740.92,704.156067196708,631.54678582073,730.81,708.669215737851,596.558205937622,772.68,712.371426028611,576.239199732125,993.13,715.655764942478,560.95550450122,1014.43,718.730022876287,548.52315544755,1112.74,721.601181381765,537.981407007476,1179.78,724.311952242182,528.802940913427,1244.42,726.908597054827,520.66167535061,1217.07,729.427603665569,513.339865434753,1291.12,731.891525577758,506.683974851683,1272.87,734.316423335752,500.581220272415
"11",728.62,730.165356257724,719.099815337067,745.76,735.617153661222,699.188551560792,740.92,742.973753214405,662.999838242955,730.81,750.014302026064,622.377625548123,772.68,755.302639181277,595.261801412108,993.13,759.642214060828,576.906780244395,1014.43,763.500375076622,562.493926596951,1112.74,767.027608102118,550.521708078404,1179.78,770.265916934636,540.244085900473,1244.42,773.285954052828,531.223442973068,1217.07,776.152791693145,523.177477949888,1291.12,778.912162960709,515.912077731827,1272.87,781.594206141817,509.287406026882,1059.98,784.22103737942,503.199058799512
"12",745.76,734.032958187161,713.419346009141,740.92,741.347087858261,679.310950684141,730.81,748.327792234656,637.750913157614,772.68,753.508048358851,608.061994494673,993.13,757.779589694287,586.395237697885,1014.43,761.592211488228,570.473928687136,1112.74,765.085607894498,557.523999924171,1179.78,768.295657606717,546.537792836887,1244.42,771.292974036517,536.971377155694,1217.07,774.141558327841,528.488000127336,1291.12,776.885920986442,520.861917043546,1272.87,779.555208572153,513.933349935153,1059.98,782.170931473736,507.584566492036,1049.95,784.749404539571,501.726055237313
"13",740.92,753.400574197156,727.047204668821,730.81,760.699142240718,692.186866538418,772.68,766.305317134854,660.169635564416,993.13,771.385671701887,629.965818589256,1014.43,775.708647616405,602.688285289443,1112.74,779.543009380268,584.598233451441,1179.78,783.005259031673,570.283697347255,1244.42,786.213514447909,558.305365494835,1217.07,789.23198698257,547.964022348639,1291.12,792.113006347824,538.848574510348,1272.87,794.894760369794,530.691646575349,1059.98,797.606182928149,523.30769124531,1049.95,800.268110748019,516.561874812752,1116.87,802.895830318608,510.352740655839
"14",730.81,747.878326698219,712.522217843704,772.68,753.176703407128,683.63324007434,993.13,757.815207170712,652.444826799714,1014.43,761.295569818054,621.395232985021,1112.74,764.599366943148,598.459349647848,1179.78,767.708456211018,581.939650989232,1244.42,770.655301390863,568.531391837014,1217.07,773.454804854876,557.153142957506,1291.12,776.159246049331,547.238651264428,1272.87,778.798793418567,538.441076335012,1059.98,781.392993109426,530.528693281078,1049.95,783.954992546993,523.337542772696,1116.87,786.49540904553,516.746691999187,1197.78,789.022174030132,510.664058145728
