,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,663.87,652.8267646217346,635.82,654.6810063505172,617.46,655.9505273485183,629.65,656.479006626606,583.82,657.1806677365303,612.44,657.5209420704841,621.86,658.8369792485237,633.46,659.9583701872825,686.38,661.2316934847831,725.51,662.4686463856697,728.62,663.3911587381363,745.76,665.3221388244629,740.92,667.4663560771942,730.81,669.2216717386245
1,635.82,664.9067646217346,617.46,666.7610063505173,629.65,668.0305273485184,583.82,668.559006626606,612.44,669.2606677365303,621.86,669.6009420704842,633.46,670.9169792485237,686.38,672.0383701872826,725.51,673.3116934847832,728.62,674.5486463856697,745.76,675.4711587381363,740.92,677.4021388244629,730.81,679.5463560771942,772.68,681.3016717386246
2,617.46,636.8567646217347,629.65,638.7110063505173,583.82,639.9805273485184,612.44,640.509006626606,621.86,641.2106677365304,633.46,641.5509420704842,686.38,642.8669792485238,725.51,643.9883701872826,728.62,645.2616934847832,745.76,646.4986463856698,740.92,647.4211587381363,730.81,649.3521388244629,772.68,651.4963560771943,993.1300000000001,653.2516717386246
3,629.65,618.4967646217347,583.82,620.3510063505173,612.44,621.6205273485184,621.86,622.149006626606,633.46,622.8506677365303,686.38,623.1909420704842,725.51,624.5069792485237,728.62,625.6283701872826,745.76,626.9016934847832,740.92,628.1386463856697,730.81,629.0611587381363,772.68,630.9921388244629,993.1300000000001,633.1363560771943,1014.4300000000001,634.8916717386246
4,583.82,630.6867646217346,612.44,632.5410063505173,621.86,633.8105273485183,633.46,634.339006626606,686.38,635.0406677365303,725.51,635.3809420704841,728.62,636.6969792485237,745.76,637.8183701872825,740.92,639.0916934847831,730.81,640.3286463856697,772.68,641.2511587381363,993.1300000000001,643.1821388244629,1014.4300000000001,645.3263560771942,1112.7400000000002,647.0816717386246
5,612.44,584.8567646217347,621.86,586.7110063505173,633.46,587.9805273485184,686.38,588.509006626606,725.51,589.2106677365304,728.62,589.5509420704842,745.76,590.8669792485238,740.92,591.9883701872826,730.81,593.2616934847832,772.68,594.4986463856698,993.1300000000001,595.4211587381363,1014.4300000000001,597.3521388244629,1112.7400000000002,599.4963560771943,1179.7800000000002,601.2516717386246
6,621.86,613.4767646217347,633.46,615.3310063505173,686.38,616.6005273485184,725.51,617.129006626606,728.62,617.8306677365304,745.76,618.1709420704842,740.92,619.4869792485238,730.81,620.6083701872826,772.68,621.8816934847832,993.1300000000001,623.1186463856698,1014.4300000000001,624.0411587381363,1112.7400000000002,625.972138824463,1179.7800000000002,628.1163560771943,1244.4200000000003,629.8716717386246
7,633.46,622.8967646217346,686.38,624.7510063505173,725.51,626.0205273485184,728.62,626.549006626606,745.76,627.2506677365303,740.92,627.5909420704842,730.81,628.9069792485237,772.68,630.0283701872826,993.1300000000001,631.3016934847832,1014.4300000000001,632.5386463856697,1112.7400000000002,633.4611587381363,1179.7800000000002,635.3921388244629,1244.4200000000003,637.5363560771942,1217.0700000000002,639.2916717386246
8,686.38,634.4967646217347,725.51,636.3510063505173,728.62,637.6205273485184,745.76,638.149006626606,740.92,638.8506677365303,730.81,639.1909420704842,772.68,640.5069792485237,993.1300000000001,641.6283701872826,1014.4300000000001,642.9016934847832,1112.7400000000002,644.1386463856697,1179.7800000000002,645.0611587381363,1244.4200000000003,646.9921388244629,1217.0700000000002,649.1363560771943,1291.1200000000001,650.8916717386246
9,725.51,687.4167646217346,728.62,689.2710063505173,745.76,690.5405273485184,740.92,691.069006626606,730.81,691.7706677365303,772.68,692.1109420704842,993.1300000000001,693.4269792485237,1014.4300000000001,694.5483701872826,1112.7400000000002,695.8216934847832,1179.7800000000002,697.0586463856697,1244.4200000000003,697.9811587381363,1217.0700000000002,699.9121388244629,1291.1200000000001,702.0563560771942,1272.8700000000001,703.8116717386246
