,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,663.87,653.8955400371551,635.82,656.1787093067169,617.46,655.183163383007,629.65,655.8054958963394,583.82,656.6609660172462,612.44,658.8556285881996,621.86,659.6169327282905,633.46,660.4972003483772,686.38,660.9011252009868,725.51,660.8080931538343,728.62,661.1393848592043,745.76,663.7002040082216,740.92,664.3882005745172,730.81,666.7240143352747
1,635.82,666.0013834190369,617.46,668.3181861591339,629.65,667.3560782623291,583.82,668.0069518637657,612.44,668.8886269879341,621.86,671.112749273777,633.46,671.8969644260407,686.38,672.8088911724091,725.51,673.2436931681633,728.62,673.180179643333,745.76,673.5395530340076,740.92,676.1327446576953,730.81,676.8495070812106,772.68,679.2189543125033
2,617.46,637.813047118187,629.65,639.9655725431443,583.82,638.8565953445435,612.44,639.354177929163,621.86,640.0920431983471,633.46,642.1470792663098,686.38,642.8060558211804,725.51,643.5444293391705,728.62,643.8479716849328,745.76,643.6223213744164,740.92,643.8193527233601,730.81,646.240799523592,772.68,646.8160881173611,993.1300000000001,649.0076130998135
3,629.65,619.3299882030487,583.82,621.3353998279572,612.44,620.0963555192948,621.86,620.4577033138276,633.46,621.0684825396538,686.38,622.9719282603264,725.51,623.5175419664383,728.62,624.1064364528656,745.76,624.2937129950524,740.92,623.923568598032,730.81,623.9766043266654,772.68,626.2442322811485,993.1300000000001,626.6962371012569,1014.4300000000001,628.7327897688747
4,583.82,631.4131448507309,612.44,633.2903954029083,621.86,631.9376168489456,633.46,632.1807146608829,686.38,632.6809558808803,725.51,634.4531615912914,728.62,634.899976247549,745.76,635.3625960290432,740.92,635.4481216683984,730.81,634.952865691483,772.68,634.8817281737923,993.1300000000001,637.0157799735665,1014.4300000000001,637.3619775488972,1112.7400000000002,639.2665278628468
5,612.44,585.4620211791993,621.86,587.1944648694993,633.46,585.7102018070221,686.38,585.8197039064765,725.51,586.1951169964672,728.62,587.8212354180217,745.76,588.157697736919,740.92,588.4764489528537,730.81,588.4439005401731,772.68,587.8084804561735,993.1300000000001,587.5982345041633,1014.4300000000001,589.5824945864082,1112.7400000000002,589.8071384426952,1179.7800000000002,591.5616329905391
6,621.86,614.1262109899521,633.46,615.9120323085785,686.38,614.4758296632767,725.51,614.635200458169,728.62,615.0584784919024,745.76,616.7377301627398,740.92,617.1123515242339,730.81,617.4963758164645,772.68,617.5063555655629,993.1300000000001,616.92358986713,1014.4300000000001,616.767562192455,1112.7400000000002,618.806695502773,1179.7800000000002,619.0820486364514,1244.4200000000003,620.9018651065976
7,633.46,623.6938035345078,686.38,625.6555825328827,725.51,624.3784378623963,728.62,624.7016559696198,745.76,625.280697927475,740.92,627.1364058113098,730.81,627.6419935679436,772.68,628.2178490614891,993.1300000000001,628.3698793208599,1014.4300000000001,627.9583503460884,1112.7400000000002,627.9756315281987,1179.7800000000002,630.1962156823278,1244.4200000000003,630.6278214684129,1217.0700000000002,632.644268297255
8,686.38,635.4875213718415,725.51,637.6803559875489,728.62,636.6134378528595,745.76,637.1511832094193,740.92,637.9338442897797,730.81,640.0210282421112,772.68,640.6993970489502,993.1300000000001,641.5216344213486,1014.4300000000001,641.8619967317582,1112.7400000000002,641.675404689312,1179.7800000000002,641.9184243148566,1244.4200000000003,644.3773362106085,1217.0700000000002,645.0112024611235,1291.1200000000001,647.2806485956908
9,725.51,688.4427870559692,728.62,690.6784919548035,745.76,689.6510132598877,740.92,690.2290191102028,730.81,691.0503572273254,772.68,693.1797467517853,993.1300000000001,693.8903415846825,1014.4300000000001,694.7565146136284,1112.7400000000002,695.1315856027603,1179.7800000000002,694.9877660769224,1244.4200000000003,695.2731476920843,1217.0700000000002,697.7761222022772,1291.1200000000001,698.4473068612814,1272.8700000000001,700.7624771493673
10,728.62,727.4716910219192,745.76,729.5874844884872,740.92,728.4512857294083,730.81,728.9184701240063,772.68,729.6351250207424,993.1300000000001,731.6434200799465,1014.4300000000001,732.2642668879032,1112.7400000000002,733.0033246076107,1179.7800000000002,733.2800950205326,1244.4200000000003,733.0210946595669,1217.0700000000002,733.1902397966385,1291.1200000000001,735.5693832731247,1272.8700000000001,736.1368621683121,1059.9800000000002,738.3214179372787
11,745.76,730.4868994903564,740.92,732.4913142871857,730.81,731.2558375549316,772.68,731.6193650317192,993.1300000000001,732.2373968315125,1014.4300000000001,734.1317720365524,1112.7400000000002,734.6671910834312,1179.7800000000002,735.290589029789,1244.4200000000003,735.4771911454201,1217.0700000000002,735.1107903075218,1291.1200000000001,735.171117695868,1272.8700000000001,737.4341420260072,1059.9800000000002,737.9072692123056,1049.9500000000003,739.9722652164102
12,740.92,747.496138343811,730.81,749.3435771560669,772.68,747.9671934938431,993.1300000000001,748.1857479310036,1014.4300000000001,748.6673005914688,1112.7400000000002,750.4013668394089,1179.7800000000002,750.8172066009045,1244.4200000000003,751.2805399096012,1217.0700000000002,751.3390003985166,1291.1200000000001,750.8198070472479,1272.8700000000001,750.7284366360307,1059.9800000000002,752.8277894726396,1049.9500000000003,753.1688946059346,1116.8700000000001,755.0690953305364
13,730.81,742.7523373794555,772.68,744.7158073616027,993.1300000000001,743.4503918123245,1014.4300000000001,743.7757309508323,1112.7400000000002,744.3585067224502,1179.7800000000002,746.2026417684555,1244.4200000000003,746.6993055772781,1217.0700000000002,747.2980623674392,1291.1200000000001,747.4545888286829,1272.8700000000001,747.0470771175623,1059.9800000000002,747.068082325235,1049.9500000000003,749.2830071375519,1116.8700000000001,749.7338292822986,1197.7800000000002,751.7702646479755
14,772.68,732.645455417633,993.1300000000001,734.614330587387,1014.4300000000001,733.3582202768325,1112.7400000000002,733.6876255249977,1179.7800000000002,734.2745651578903,1244.4200000000003,736.1182213401794,1217.0700000000002,736.6127250170707,1291.1200000000001,737.2305515384674,1272.8700000000001,737.3944869613647,1059.9800000000002,736.9910609102249,1049.9500000000003,737.0169826107472,1116.8700000000001,739.2337546902149,1197.7800000000002,739.6979774492233,1165.4800000000002,741.7506090658158
