,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,663.87,654.1465745353698,635.82,654.371394329667,617.46,654.3019477733969,629.65,655.4323017010092,583.82,657.0985143789649,612.44,657.8943023690581,621.86,658.1095042088627,633.46,657.9925250270962,686.38,658.8907383540272,725.51,660.8665729621052,728.62,661.0258948811888,745.76,661.8430007109046,740.92,662.8039946565032,730.81,663.355160177648
1,635.82,666.185815448761,617.46,666.3891316902638,629.65,666.3440232490003,583.82,667.5227210734785,612.44,669.2443053935468,621.86,670.0039087747037,633.46,670.2690575037897,686.38,670.1803163950145,725.51,671.0890860025585,728.62,673.052507108897,745.76,673.2334987585247,740.92,673.9991719786823,730.81,674.946980303973,772.68,675.5232756797969
2,617.46,638.1853128147126,629.65,638.3780434501172,583.82,638.2742791768909,612.44,639.3193128702045,621.86,641.0810208913684,633.46,641.7733474966884,686.38,641.9877282974124,725.51,641.8654025492073,728.62,642.7496288117767,745.76,644.7037447986007,740.92,644.9844249483943,730.81,645.8325252529979,772.68,646.8571110960842,993.1300000000001,647.4161742922664
3,629.65,619.8468944644928,583.82,620.046887434125,612.44,619.9200263834,621.86,621.0472427225113,633.46,622.78253074646,686.38,623.4982766723633,725.51,623.8037054753304,728.62,623.7249732977152,745.76,624.6641019946337,740.92,626.5827566748858,730.81,626.8400175040961,772.68,627.6692532962561,993.1300000000001,628.6366885370016,1014.4300000000001,629.2367257541418
4,583.82,631.9324263572693,612.44,632.1881819605827,621.86,632.1697085998952,633.46,633.359598030895,686.38,635.0743892095983,725.51,635.8557502530515,728.62,636.1261380217969,745.76,636.0095400340855,740.92,636.9025729425251,730.81,638.8772149808705,772.68,639.0537788547575,993.1300000000001,639.780618635565,1014.4300000000001,640.7414268530905,1112.7400000000002,641.3266364015639
5,612.44,586.152314491272,621.86,586.4305315089226,633.46,586.3463647884131,686.38,587.3339840096236,725.51,589.0572886389494,728.62,589.8099815768004,745.76,589.9476337802411,740.92,589.7527335506678,730.81,590.5617364865542,772.68,592.6265663129092,993.1300000000001,592.8587168675662,1014.4300000000001,593.7003856521845,1112.7400000000002,594.7386066538096,1179.7800000000002,595.2415553551913
6,621.86,614.7759115123749,633.46,614.9893930727244,686.38,614.9361817003787,725.51,616.248445904404,728.62,617.8914445997775,745.76,618.7227036716044,740.92,619.0718042315543,730.81,619.0357859270275,772.68,620.0035143630207,993.1300000000001,621.9424117343128,1014.4300000000001,622.0370275066794,1112.7400000000002,622.7829272435606,1179.7800000000002,623.6428935812414,1244.4200000000003,624.2476616190374
7,633.46,624.083682641983,686.38,624.3700123882294,725.51,624.400176153183,728.62,625.4981965875626,745.76,627.2265252923966,740.92,628.0278748726845,730.81,628.1380220806599,772.68,627.9382346725464,993.1300000000001,628.7135943031311,1014.4300000000001,630.8109434700012,1112.7400000000002,630.9733345365524,1179.7800000000002,631.7080622172356,1244.4200000000003,632.7156700348854,1217.0700000000002,633.2048857963085
8,686.38,635.8103775596619,725.51,636.0309748417139,728.62,635.968937239647,745.76,637.1173542356491,740.92,638.7760603046418,730.81,639.5768723106385,772.68,639.8017996317149,993.1300000000001,639.6927669858933,1014.4300000000001,640.6008719420433,1112.7400000000002,642.5701283431054,1179.7800000000002,642.717857888937,1244.4200000000003,643.5238796389103,1217.0700000000002,644.4800352370739,1291.1200000000001,645.0365962302685
9,725.51,688.6308552074432,728.62,688.8352466273308,745.76,688.8577864068747,740.92,690.2026578086615,730.81,691.8801500695944,772.68,692.7112038630247,993.1300000000001,693.0386835831404,1014.4300000000001,693.0017367164791,1112.7400000000002,693.9493398229778,1179.7800000000002,695.9059482376277,1244.4200000000003,695.9755221541226,1217.0700000000002,696.6348016794026,1291.1200000000001,697.4916695292294,1272.8700000000001,698.0835647518933
