"","actual_t+1","arima_predicted_t+1","arfima_predicted_t+1","actual_t+2","arima_predicted_t+2","arfima_predicted_t+2","actual_t+3","arima_predicted_t+3","arfima_predicted_t+3","actual_t+4","arima_predicted_t+4","arfima_predicted_t+4","actual_t+5","arima_predicted_t+5","arfima_predicted_t+5","actual_t+6","arima_predicted_t+6","arfima_predicted_t+6","actual_t+7","arima_predicted_t+7","arfima_predicted_t+7","actual_t+8","arima_predicted_t+8","arfima_predicted_t+8","actual_t+9","arima_predicted_t+9","arfima_predicted_t+9","actual_t+10","arima_predicted_t+10","arfima_predicted_t+10","actual_t+11","arima_predicted_t+11","arfima_predicted_t+11","actual_t+12","arima_predicted_t+12","arfima_predicted_t+12","actual_t+13","arima_predicted_t+13","arfima_predicted_t+13","actual_t+14","arima_predicted_t+14","arfima_predicted_t+14"
"1",1.21457,1.21158,1.20401678667228,1.21514,1.21158,1.1995283946276,1.21978,1.21158,1.19656515643338,1.22671,1.21158,1.19425841319505,1.22452,1.21158,1.19234807171178,1.22386,1.21158,1.19070950854004,1.21643,1.21158,1.18927123845019,1.21904,1.21158,1.18798775766876,1.21807,1.21158,1.18682802303651,1.22092,1.21158,1.18576977507614,1.22534,1.21158,1.18479643962263,1.22974,1.21158,1.18389530502915,1.2216,1.21158,1.18305638611185,1.22506,1.21158,1.18227168287419
"2",1.21514,1.21457,1.21054807310157,1.21978,1.21457,1.2033526037089,1.22671,1.21457,1.1996605686529,1.22452,1.21457,1.19697611092884,1.22386,1.21457,1.19482339870133,1.21643,1.21457,1.19301119621962,1.21904,1.21457,1.19143982603361,1.21807,1.21457,1.19004955669339,1.22092,1.21457,1.18880129231427,1.22534,1.21457,1.187667828735,1.22974,1.21457,1.18662936387352,1.2216,1.21457,1.18567097563526,1.22506,1.21457,1.18478110577982,1.22968,1.21457,1.18395059888118
"3",1.21978,1.21514,1.20813674896376,1.22671,1.21514,1.20260914400393,1.22452,1.21514,1.19932343295453,1.22386,1.21514,1.19683474744839,1.21643,1.21514,1.19479943443416,1.21904,1.21514,1.193065830038,1.21807,1.21514,1.1915506820164,1.22092,1.21514,1.19020243830832,1.22534,1.21514,1.18898658453974,1.22974,1.21514,1.18787870326316,1.2216,1.21514,1.18686079392189,1.22506,1.21514,1.18591915488379,1.22968,1.21514,1.18504308594579,1.2328,1.21514,1.18422405331957
"4",1.22671,1.21978,1.21475692135331,1.22452,1.21978,1.20680241797816,1.22386,1.21978,1.20278605298432,1.21643,1.21978,1.19989722784876,1.21904,1.21978,1.19759682016552,1.21807,1.21978,1.19566948701517,1.22092,1.21978,1.19400392796858,1.22534,1.21978,1.19253399171727,1.22974,1.21978,1.19121669564642,1.2216,1.21978,1.19002231863248,1.22506,1.21978,1.18892934169237,1.22968,1.21978,1.1879216218857,1.2328,1.21978,1.18698670280101,1.22661,1.21978,1.18611474920445
"5",1.22452,1.22671,1.21924884701245,1.22386,1.22671,1.2104441002494,1.21643,1.22671,1.20598900332873,1.21904,1.22671,1.20281381688354,1.21807,1.22671,1.20030571231607,1.22092,1.22671,1.19821790031731,1.22534,1.22671,1.19642295498633,1.22974,1.22671,1.19484545414016,1.2216,1.22671,1.1934366434264,1.22506,1.22671,1.19216298946468,1.22968,1.22671,1.19100033698204,1.2328,1.22671,1.18993065169986,1.22661,1.22671,1.18894007877801,1.22238,1.22671,1.18801772261451
"6",1.22386,1.22452,1.21592889475226,1.21643,1.22452,1.20936694089765,1.21904,1.22452,1.20550176816709,1.21807,1.22452,1.20260821091462,1.22092,1.22452,1.20026449284614,1.22534,1.22452,1.1982835051554,1.22974,1.22452,1.19656282525657,1.2216,1.22452,1.19503940159016,1.22506,1.22452,1.19367131115202,1.22968,1.22452,1.19242910245263,1.2328,1.22452,1.19129120903051,1.22661,1.22452,1.19024131701624,1.22238,1.22452,1.18926675872558,1.21526,1.22452,1.18835748350271
"7",1.21643,1.22386,1.21763460670346,1.21904,1.22386,1.21059314787619,1.21807,1.22386,1.20665945802021,1.22092,1.22386,1.20373454938881,1.22534,1.22386,1.20136761461841,1.22974,1.22386,1.19936629456177,1.2216,1.22386,1.19762684780681,1.22506,1.22386,1.19608580331263,1.22968,1.22386,1.19470106394521,1.2328,1.22386,1.19344307953843,1.22661,1.22386,1.19229021122373,1.22238,1.22386,1.19122608386952,1.21526,1.22386,1.19023797487465,1.22055,1.22386,1.18931578343208
"8",1.21904,1.21643,1.20933913241228,1.21807,1.21643,1.20588751522239,1.22092,1.21643,1.20312107328836,1.22534,1.21643,1.20084290005204,1.22974,1.21643,1.19890064616111,1.2216,1.21643,1.19720423166378,1.22506,1.21643,1.19569637172407,1.22968,1.21643,1.19433824760668,1.2328,1.21643,1.19310223433584,1.22661,1.21643,1.19196790920302,1.22238,1.21643,1.19091970867519,1.21526,1.21643,1.1899454755027,1.22055,1.21643,1.18903551652368,1.2157,1.21643,1.18818196852088
"9",1.21807,1.21904,1.21602598390301,1.22092,1.21904,1.20936792634586,1.22534,1.21904,1.20581531765081,1.22974,1.21904,1.20316066176438,1.2216,1.21904,1.20099098068451,1.22506,1.21904,1.19913886684857,1.22968,1.21904,1.1975156726105,1.2328,1.21904,1.19606738048639,1.22661,1.21904,1.19475807611331,1.22238,1.21904,1.1935624135759,1.21526,1.21904,1.1924617097346,1.22055,1.21904,1.19144172708715,1.2157,1.21904,1.19049132678925,1.21519,1.21904,1.18960160605265
"10",1.22092,1.21807,1.21149889265919,1.22534,1.21807,1.20713010426626,1.22974,1.21807,1.20420804612749,1.2216,1.21807,1.20188895429329,1.22506,1.21807,1.19993763862579,1.22968,1.21807,1.19824232774652,1.2328,1.21807,1.19673854050178,1.22661,1.21807,1.19538482052003,1.22238,1.21807,1.19415256912594,1.21526,1.21807,1.19302104937756,1.22055,1.21807,1.19197465380785,1.2157,1.21807,1.1910012896925,1.21519,1.21807,1.19009136674901,1.20778,1.21807,1.1892371322821
"11",1.22534,1.22092,1.21696875370987,1.22974,1.22092,1.21026975267172,1.2216,1.22092,1.2067139642368,1.22506,1.22092,1.20407141582581,1.22968,1.22092,1.20191692655751,1.2328,1.22092,1.2000791412997,1.22661,1.22092,1.19846825008011,1.22238,1.22092,1.19703004533079,1.21526,1.22092,1.19572875937235,1.22055,1.22092,1.19453929383965,1.2157,1.22092,1.19344322476962,1.21519,1.22092,1.19242655317793,1.20778,1.22092,1.191478348553,1.20782,1.22092,1.19058988574935
"12",1.22974,1.22534,1.21899531736895,1.2216,1.22534,1.21208827093491,1.22506,1.22534,1.20834854410895,1.22968,1.22534,1.20558095644786,1.2328,1.22534,1.2033359816992,1.22661,1.22534,1.20142895877061,1.22238,1.22534,1.19976277140693,1.21526,1.22534,1.19827892968296,1.22055,1.22534,1.19693900036916,1.2157,1.22534,1.19571614034658,1.21519,1.22534,1.19459073488,1.20778,1.22534,1.19354794331818,1.20782,1.22534,1.19257622228421,1.21283,1.22534,1.19166638883472
"13",1.2216,1.22974,1.22328620591445,1.22506,1.22974,1.21524166436364,1.22968,1.22974,1.21106535319285,1.2328,1.22974,1.20803335680989,1.22661,1.22974,1.20560370582616,1.22238,1.22974,1.20355747017214,1.21526,1.22974,1.20178106150376,1.22055,1.22974,1.20020687270066,1.2157,1.22974,1.19879094127081,1.21519,1.22974,1.1975028448702,1.20778,1.22974,1.19632053450459,1.20782,1.22974,1.19522744810619,1.21283,1.22974,1.194210785729,1.211,1.22974,1.19326042264281
"14",1.22506,1.2216,1.21348741981725,1.22968,1.2216,1.20998518178228,1.2328,1.2216,1.20717466266463,1.22661,1.2216,1.20486901323114,1.22238,1.2216,1.20290526283632,1.21526,1.2216,1.20118892753732,1.22055,1.2216,1.19966104961678,1.2157,1.2216,1.19828224964878,1.21519,1.2216,1.1970247962612,1.20778,1.2216,1.19586834017116,1.20782,1.2216,1.19479745348909,1.21283,1.2216,1.19380012625519,1.211,1.2216,1.19286680331107,1.21678,1.2216,1.19198974256518
"15",1.22968,1.22506,1.22207972976408,1.2328,1.22506,1.21462414323381,1.22661,1.22506,1.21079790612662,1.22238,1.22506,1.20798427477634,1.21526,1.22506,1.20570337844419,1.22055,1.22506,1.20376484972229,1.2157,1.22506,1.20206985630357,1.21519,1.22506,1.20055918012105,1.20778,1.22506,1.19919399157151,1.20782,1.22506,1.1979471938682,1.21283,1.22506,1.19679899301278,1.211,1.22506,1.19573441357023,1.21678,1.22506,1.19474180652738,1.21663,1.22506,1.19381190361787
"16",1.2328,1.22968,1.22254135643788,1.22661,1.22968,1.21567411376849,1.22238,1.22968,1.21186477413566,1.21526,1.22968,1.20902749903006,1.22055,1.22968,1.20671947099097,1.2157,1.22968,1.20475577165413,1.21519,1.22968,1.20303823872246,1.20778,1.22968,1.2015074197674,1.20782,1.22968,1.20012411535967,1.21283,1.22968,1.19886089045853,1.211,1.22968,1.19769767299697,1.21678,1.22968,1.19661926534835,1.21663,1.22968,1.19561384163783,1.21436,1.22968,1.19467199205867
