,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.21457,1.2112197949871608,1.21514,1.209569399067592,1.21978,1.2098427094432247,1.22671,1.2096937240974932,1.22452,1.2116100168030663,1.22386,1.21072039990108,1.21643,1.2108395170479036,1.21904,1.211605848610676,1.21807,1.2113134623913049,1.22092,1.2094670242339327,1.22534,1.2084359978733539,1.22974,1.2102294225886419,1.2216,1.2105565999343946,1.22506,1.2117369719024702
1,1.21514,1.2142097949871606,1.21978,1.2125593990675918,1.22671,1.2128327094432245,1.22452,1.212683724097493,1.22386,1.2146000168030662,1.21643,1.2137103999010799,1.21904,1.2138295170479034,1.21807,1.2145958486106758,1.22092,1.2143034623913047,1.22534,1.2124570242339325,1.22974,1.2114259978733537,1.2216,1.2132194225886417,1.22506,1.2135465999343944,1.22968,1.21472697190247
2,1.21978,1.2147797949871608,1.22671,1.213129399067592,1.22452,1.2134027094432247,1.22386,1.2132537240974932,1.21643,1.2151700168030664,1.21904,1.21428039990108,1.21807,1.2143995170479036,1.22092,1.215165848610676,1.22534,1.214873462391305,1.22974,1.2130270242339327,1.2216,1.2119959978733539,1.22506,1.2137894225886419,1.22968,1.2141165999343946,1.2328,1.2152969719024702
3,1.22671,1.2194197949871608,1.22452,1.217769399067592,1.22386,1.2180427094432247,1.21643,1.2178937240974932,1.21904,1.2198100168030663,1.21807,1.21892039990108,1.22092,1.2190395170479036,1.22534,1.219805848610676,1.22974,1.2195134623913049,1.2216,1.2176670242339327,1.22506,1.2166359978733539,1.22968,1.2184294225886418,1.2328,1.2187565999343946,1.22661,1.2199369719024702
4,1.22452,1.2263497949871607,1.22386,1.2246993990675918,1.21643,1.2249727094432246,1.21904,1.224823724097493,1.21807,1.2267400168030662,1.22092,1.22585039990108,1.22534,1.2259695170479035,1.22974,1.2267358486106759,1.2216,1.2264434623913048,1.22506,1.2245970242339326,1.22968,1.2235659978733537,1.2328,1.2253594225886417,1.22661,1.2256865999343944,1.22238,1.22686697190247
5,1.22386,1.2241597949871608,1.21643,1.222509399067592,1.21904,1.2227827094432246,1.21807,1.2226337240974932,1.22092,1.2245500168030663,1.22534,1.22366039990108,1.22974,1.2237795170479036,1.2216,1.224545848610676,1.22506,1.2242534623913048,1.22968,1.2224070242339327,1.2328,1.2213759978733538,1.22661,1.2231694225886418,1.22238,1.2234965999343945,1.21526,1.2246769719024702
6,1.21643,1.2234997949871607,1.21904,1.2218493990675918,1.21807,1.2221227094432245,1.22092,1.221973724097493,1.22534,1.2238900168030662,1.22974,1.22300039990108,1.2216,1.2231195170479034,1.22506,1.2238858486106758,1.22968,1.2235934623913047,1.2328,1.2217470242339326,1.22661,1.2207159978733537,1.22238,1.2225094225886417,1.21526,1.2228365999343944,1.22055,1.22401697190247
7,1.21904,1.2160697949871606,1.21807,1.2144193990675918,1.22092,1.2146927094432245,1.22534,1.214543724097493,1.22974,1.2164600168030661,1.2216,1.2155703999010798,1.22506,1.2156895170479034,1.22968,1.2164558486106758,1.2328,1.2161634623913047,1.22661,1.2143170242339325,1.22238,1.2132859978733537,1.21526,1.2150794225886417,1.22055,1.2154065999343944,1.2157,1.21658697190247
8,1.21807,1.2186797949871606,1.22092,1.2170293990675918,1.22534,1.2173027094432245,1.22974,1.217153724097493,1.2216,1.2190700168030661,1.22506,1.2181803999010798,1.22968,1.2182995170479034,1.2328,1.2190658486106758,1.22661,1.2187734623913047,1.22238,1.2169270242339325,1.21526,1.2158959978733537,1.22055,1.2176894225886417,1.2157,1.2180165999343944,1.21519,1.21919697190247
9,1.22092,1.2177097949871607,1.22534,1.2160593990675919,1.22974,1.2163327094432246,1.2216,1.216183724097493,1.22506,1.2181000168030662,1.22968,1.21721039990108,1.2328,1.2173295170479035,1.22661,1.2180958486106759,1.22238,1.2178034623913048,1.21526,1.2159570242339326,1.22055,1.2149259978733538,1.2157,1.2167194225886417,1.21519,1.2170465999343945,1.20778,1.21822697190247
10,1.22534,1.2205597949871607,1.22974,1.2189093990675919,1.2216,1.2191827094432246,1.22506,1.219033724097493,1.22968,1.2209500168030663,1.2328,1.22006039990108,1.22661,1.2201795170479035,1.22238,1.220945848610676,1.21526,1.2206534623913048,1.22055,1.2188070242339326,1.2157,1.2177759978733538,1.21519,1.2195694225886418,1.20778,1.2198965999343945,1.20782,1.22107697190247
11,1.22974,1.2249797949871608,1.2216,1.223329399067592,1.22506,1.2236027094432247,1.22968,1.2234537240974932,1.2328,1.2253700168030663,1.22661,1.22448039990108,1.22238,1.2245995170479036,1.21526,1.225365848610676,1.22055,1.2250734623913049,1.2157,1.2232270242339327,1.21519,1.2221959978733539,1.20778,1.2239894225886419,1.20782,1.2243165999343946,1.21283,1.2254969719024702
12,1.2216,1.2293797949871608,1.22506,1.227729399067592,1.22968,1.2280027094432246,1.2328,1.2278537240974932,1.22661,1.2297700168030663,1.22238,1.22888039990108,1.21526,1.2289995170479036,1.22055,1.229765848610676,1.2157,1.2294734623913048,1.21519,1.2276270242339327,1.20778,1.2265959978733538,1.20782,1.2283894225886418,1.21283,1.2287165999343945,1.211,1.2298969719024702
13,1.22506,1.2212397949871607,1.22968,1.219589399067592,1.2328,1.2198627094432246,1.22661,1.2197137240974931,1.22238,1.2216300168030663,1.21526,1.22074039990108,1.22055,1.2208595170479035,1.2157,1.221625848610676,1.21519,1.2213334623913048,1.20778,1.2194870242339326,1.20782,1.2184559978733538,1.21283,1.2202494225886418,1.211,1.2205765999343945,1.21678,1.2217569719024701
14,1.22968,1.2246997949871608,1.2328,1.223049399067592,1.22661,1.2233227094432246,1.22238,1.2231737240974931,1.21526,1.2250900168030663,1.22055,1.22420039990108,1.2157,1.2243195170479035,1.21519,1.225085848610676,1.20778,1.2247934623913048,1.20782,1.2229470242339326,1.21283,1.2219159978733538,1.211,1.2237094225886418,1.21678,1.2240365999343945,1.21663,1.2252169719024701
15,1.2328,1.2293197949871608,1.22661,1.227669399067592,1.22238,1.2279427094432247,1.21526,1.2277937240974932,1.22055,1.2297100168030664,1.2157,1.22882039990108,1.21519,1.2289395170479036,1.20778,1.229705848610676,1.20782,1.229413462391305,1.21283,1.2275670242339327,1.211,1.2265359978733539,1.21678,1.2283294225886419,1.21663,1.2286565999343946,1.21436,1.2298369719024702
16,1.22661,1.2324397949871606,1.22238,1.2307893990675918,1.21526,1.2310627094432245,1.22055,1.230913724097493,1.2157,1.2328300168030661,1.21519,1.2319403999010798,1.20778,1.2320595170479034,1.20782,1.2328258486106758,1.21283,1.2325334623913047,1.211,1.2306870242339325,1.21678,1.2296559978733537,1.21663,1.2314494225886417,1.21436,1.2317765999343944,1.2162,1.23295697190247
17,1.22238,1.2262497949871607,1.21526,1.2245993990675919,1.22055,1.2248727094432246,1.2157,1.224723724097493,1.21519,1.2266400168030662,1.20778,1.22575039990108,1.20782,1.2258695170479035,1.21283,1.2266358486106759,1.211,1.2263434623913048,1.21678,1.2244970242339326,1.21663,1.2234659978733537,1.21436,1.2252594225886417,1.2162,1.2255865999343944,1.21089,1.22676697190247
18,1.21526,1.2220197949871607,1.22055,1.220369399067592,1.2157,1.2206427094432246,1.21519,1.2204937240974931,1.20778,1.2224100168030663,1.20782,1.22152039990108,1.21283,1.2216395170479035,1.211,1.222405848610676,1.21678,1.2221134623913048,1.21663,1.2202670242339326,1.21436,1.2192359978733538,1.2162,1.2210294225886418,1.21089,1.2213565999343945,1.2122,1.2225369719024701
19,1.22055,1.2148997949871607,1.2157,1.2132493990675919,1.21519,1.2135227094432246,1.20778,1.2133737240974931,1.20782,1.2152900168030663,1.21283,1.21440039990108,1.211,1.2145195170479035,1.21678,1.215285848610676,1.21663,1.2149934623913048,1.21436,1.2131470242339326,1.2162,1.2121159978733538,1.21089,1.2139094225886418,1.2122,1.2142365999343945,1.2136,1.2154169719024701
20,1.2157,1.2201897949871607,1.21519,1.218539399067592,1.20778,1.2188127094432246,1.20782,1.2186637240974931,1.21283,1.2205800168030663,1.211,1.21969039990108,1.21678,1.2198095170479035,1.21663,1.220575848610676,1.21436,1.2202834623913048,1.2162,1.2184370242339326,1.21089,1.2174059978733538,1.2122,1.2191994225886418,1.2136,1.2195265999343945,1.20619,1.2207069719024701
21,1.21519,1.2153397949871607,1.20778,1.2136893990675919,1.20782,1.2139627094432246,1.21283,1.213813724097493,1.211,1.2157300168030662,1.21678,1.21484039990108,1.21663,1.2149595170479035,1.21436,1.215725848610676,1.2162,1.2154334623913048,1.21089,1.2135870242339326,1.2122,1.2125559978733538,1.2136,1.2143494225886418,1.20619,1.2146765999343945,1.20439,1.21585697190247
22,1.20778,1.2148297949871607,1.20782,1.2131793990675919,1.21283,1.2134527094432246,1.211,1.213303724097493,1.21678,1.2152200168030662,1.21663,1.21433039990108,1.21436,1.2144495170479035,1.2162,1.2152158486106759,1.21089,1.2149234623913048,1.2122,1.2130770242339326,1.2136,1.2120459978733538,1.20619,1.2138394225886417,1.20439,1.2141665999343945,1.20338,1.21534697190247
23,1.20782,1.2074197949871608,1.21283,1.205769399067592,1.211,1.2060427094432247,1.21678,1.2058937240974932,1.21663,1.2078100168030663,1.21436,1.20692039990108,1.2162,1.2070395170479036,1.21089,1.207805848610676,1.2122,1.2075134623913049,1.2136,1.2056670242339327,1.20619,1.2046359978733538,1.20439,1.2064294225886418,1.20338,1.2067565999343945,1.19648,1.2079369719024702
24,1.21283,1.2074597949871606,1.211,1.2058093990675918,1.21678,1.2060827094432245,1.21663,1.205933724097493,1.21436,1.2078500168030661,1.2162,1.2069603999010798,1.21089,1.2070795170479034,1.2122,1.2078458486106758,1.2136,1.2075534623913047,1.20619,1.2057070242339325,1.20439,1.2046759978733537,1.20338,1.2064694225886416,1.19648,1.2067965999343944,1.20487,1.20797697190247
25,1.211,1.2124697949871608,1.21678,1.210819399067592,1.21663,1.2110927094432247,1.21436,1.2109437240974932,1.2162,1.2128600168030663,1.21089,1.21197039990108,1.2122,1.2120895170479036,1.2136,1.212855848610676,1.20619,1.2125634623913049,1.20439,1.2107170242339327,1.20338,1.2096859978733538,1.19648,1.2114794225886418,1.20487,1.2118065999343945,1.2052,1.2129869719024702
