,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.21457,1.2116413417141723,1.21514,1.2116870269427147,1.21978,1.211804232528126,1.22671,1.2119854641758558,1.22452,1.2120479515986937,1.22386,1.2121663568803762,1.21643,1.2125506404816826,1.21904,1.2127710928587896,1.21807,1.212923094118056,1.22092,1.2131725971529215,1.22534,1.21338992987589,1.22974,1.2136451174709202,1.2216,1.2139558333700244,1.22506,1.214144280308434
1,1.21514,1.2146313485026405,1.21978,1.2146770343787432,1.22671,1.2147942593618575,1.22452,1.2149754851888213,1.22386,1.215037975194624,1.21643,1.2151563908227183,1.21904,1.215540733242866,1.21807,1.2157612172994925,1.22092,1.2159132088526314,1.22534,1.2161626976557238,1.22974,1.2163800374800269,1.2216,1.2166351921004173,1.22506,1.2169459422838338,1.22968,1.217134388581959
2,1.21978,1.2152013475349384,1.22671,1.2152470547477867,1.22452,1.2153643411545352,1.22386,1.215545575377954,1.21643,1.2156080705569627,1.21904,1.2157265133389308,1.21807,1.216110929479081,1.22092,1.2163314888564207,1.22534,1.2164834658721964,1.22974,1.2167329449837132,1.2216,1.2169503155271093,1.22506,1.2172054342624767,1.22968,1.2175162038290444,1.2328,1.2177046798712843
3,1.22671,1.219841343976995,1.22452,1.2198870337311831,1.22386,1.2200042916889373,1.21643,1.2201855239769515,1.21904,1.2202480288548117,1.21807,1.2203664509439562,1.22092,1.220750868364675,1.22534,1.220971401242977,1.22974,1.2211233776039165,1.2216,1.2213728518550937,1.22506,1.2215902023605025,1.22968,1.2218453159153881,1.2328,1.2221561074553478,1.22661,1.2223445518180682
4,1.22452,1.2267713236115896,1.22386,1.2268169574391294,1.21643,1.2269340906142105,1.21904,1.2271153170814586,1.21807,1.2271778258374042,1.22092,1.227296181977269,1.22534,1.2276804403455543,1.22974,1.227900814491565,1.2216,1.2280528267375275,1.22506,1.2283023262217256,1.22968,1.2285196136882377,1.2328,1.228774779309876,1.22661,1.2290855288239044,1.22238,1.2292739017367211
5,1.22386,1.2245813265219727,1.21643,1.2246269661702787,1.21904,1.2247440893190902,1.21807,1.2249253287229909,1.22092,1.2249878355362558,1.22534,1.225106190388276,1.22974,1.2254903770156194,1.2216,1.2257107320840692,1.22506,1.2258627630874503,1.22968,1.226112283584614,1.2328,1.226329581382986,1.22661,1.2265847802994063,1.22238,1.2268954871472193,1.21526,1.2270838810730016
6,1.21643,1.2239213378360867,1.21904,1.2239669981735781,1.21807,1.224084166586122,1.22092,1.224265401464377,1.22534,1.2243279037519963,1.22974,1.224446287693295,1.2216,1.2248305331394798,1.22506,1.2250509454260603,1.22968,1.2252029680184344,1.2328,1.2254524781546345,1.22661,1.2256697953507094,1.22238,1.2259249787547881,1.21526,1.2262357037051836,1.22055,1.2264241221945988
7,1.21904,1.216491341386754,1.21807,1.2165370159487425,1.22092,1.2166542212140117,1.22534,1.2168354554374305,1.22974,1.2168979564372053,1.2216,1.2170163571932422,1.22506,1.217400661487372,1.22968,1.2176211206602234,1.2328,1.2177731248298729,1.22661,1.218022621054442,1.22238,1.218239955072531,1.21526,1.218495117114398,1.22055,1.2188058575771352,1.2157,1.218994291913586
8,1.21807,1.219101341386754,1.22092,1.2191470262915163,1.22534,1.2192642587106592,1.22974,1.2194454909986734,1.2216,1.2195079945814131,1.22506,1.2196264069717062,1.22968,1.220010757802861,1.2328,1.2202312512309208,1.22661,1.2203832453743007,1.22238,1.220632734177393,1.21526,1.22085007950232,1.22055,1.2211052205312216,1.2157,1.221415978456257,1.21519,1.2216044234592618
9,1.22092,1.2181313455922576,1.22534,1.218177056039269,1.22974,1.218294349561904,1.2216,1.2184755870158481,1.22506,1.2185380925412685,1.22968,1.218656539201322,1.2328,1.2190409695732454,1.22661,1.2192615441573365,1.22238,1.2194135201981338,1.21526,1.2196629938090267,1.22055,1.219880370493331,1.2157,1.220135479857265,1.21519,1.2204462636556057,1.20778,1.2206347400179878
10,1.22534,1.220981346887378,1.22974,1.2210270644430001,1.2216,1.2211443857670692,1.22506,1.2213256264660903,1.22968,1.2213881397476816,1.2328,1.221506597401707,1.22661,1.2218910950034787,1.22238,1.2221117054725927,1.21526,1.222263664705928,1.22055,1.2225131231246213,1.2157,1.2227305095150531,1.21519,1.222985587854304,1.20778,1.223296400087087,1.20782,1.2234848787050159
11,1.22974,1.2254013362208243,1.2216,1.2254470337348211,1.22506,1.22556432143669,1.22968,1.225745556314945,1.2328,1.2258080734746217,1.22661,1.2259265078528587,1.22238,1.2263109757105157,1.21526,1.226531547704366,1.22055,1.2266835179243971,1.2157,1.2269329795736157,1.21519,1.227150348181607,1.20778,1.2274054342624767,1.20782,1.2277162490855007,1.21283,1.227904701204392
12,1.2216,1.2298013323354628,1.22506,1.2298470033395081,1.22968,1.2299642315531476,1.2328,1.230145470302212,1.22661,1.2302079913399742,1.22238,1.230326394678976,1.21526,1.2307107778444863,1.22055,1.2309312738627871,1.2157,1.2310832631603792,1.21519,1.2313327390413709,1.20778,1.231550078865674,1.20782,1.2318051904997067,1.21283,1.2321159801188135,1.211,1.2323044011984696
13,1.22506,1.2216613310476183,1.22968,1.2217069936479326,1.2328,1.2218241934125778,1.22661,1.2220054321616423,1.22238,1.2220679506164394,1.21526,1.222186342321185,1.22055,1.2225706647178973,1.2157,1.222791121940792,1.21519,1.2229431264305837,1.20778,1.2231926158739603,1.20782,1.2234099453664036,1.21283,1.223665080254397,1.211,1.2239758446404827,1.21678,1.2241642602195149
14,1.22968,1.2251213336305833,1.2328,1.2251669875033864,1.22661,1.2252841614092782,1.22238,1.2254653988632223,1.21526,1.225527910849693,1.22055,1.2256462909129064,1.2157,1.2260305686934467,1.21519,1.2262509929417016,1.20778,1.2264030058425002,1.20782,1.2266525020670693,1.21283,1.2268698212131008,1.211,1.2271249758334912,1.21678,1.227435726657192,1.21663,1.227624130609244
15,1.2328,1.2297413261945547,1.22661,1.2297869593745343,1.22238,1.2299040815556435,1.21526,1.2300853190095875,1.22055,1.2301478284130933,1.2157,1.2302661800273125,1.21519,1.2306503860378069,1.20778,1.2308707359403268,1.20782,1.2310227649937513,1.21283,1.2312722744896671,1.211,1.231489566801967,1.21678,1.231744756346954,1.21663,1.2320554806570652,1.21436,1.2322438574406913
16,1.22661,1.2328613242591497,1.22238,1.2329069548525264,1.21526,1.2330240524627267,1.22055,1.2332052899166708,1.2157,1.2332677941469707,1.21519,1.233386135422054,1.20778,1.2337702838942757,1.20782,1.2339906066429218,1.21283,1.2341426479927147,1.211,1.2343921717204036,1.21678,1.2346094549814122,1.21663,1.2348646706907427,1.21436,1.2351753658970235,1.2162,1.2353637455910327
17,1.22238,1.2266713284573774,1.21526,1.2267169684258254,1.22055,1.226834080908083,1.2157,1.2270153203119838,1.21519,1.2270778200166381,1.20778,1.2271961742210982,1.20782,1.227580334334852,1.21283,1.227800670980577,1.211,1.227952711995676,1.21678,1.2282022337734082,1.21663,1.2284195247905876,1.21436,1.228674737589535,1.2162,1.2289854321555316,1.21089,1.2291738241459091
18,1.21526,1.2224413375086687,1.22055,1.2224869981699402,1.2157,1.2226041594665975,1.21519,1.2227853975753777,1.20778,1.222847894049507,1.20782,1.2229662747602805,1.21283,1.223350497592789,1.211,1.2235708956621483,1.21678,1.223722919869785,1.21663,1.2239724316357996,1.21436,1.2241897465763276,1.2162,1.2244449438629335,1.21089,1.2247556520204188,1.2122,1.224944070509834
19,1.22055,1.215321338483647,1.2157,1.2153670149846783,1.21519,1.2154842173395644,1.20778,1.2156654502678628,1.20782,1.2157279454468715,1.21283,1.2158463474980288,1.211,1.2162306343298603,1.21678,1.2164510831563,1.21663,1.21660308862107,1.21436,1.2168525838852127,1.2162,1.2170699146582244,1.21089,1.2173250854312407,1.2122,1.2176358168426866,1.2136,1.2178242518194218
20,1.2157,1.2206113339580014,1.21519,1.2206569849204214,1.20778,1.22077413878105,1.20782,1.2209553710690642,1.21283,1.2210178701261583,1.211,1.2211362417856406,1.21678,1.2215204943622637,1.21663,1.221740883700474,1.21436,1.2218928988568194,1.2162,1.2221423979917716,1.21089,1.2223597012907674,1.2122,1.2226148876052292,1.2136,1.2229256183763908,1.20619,1.2231140129424574
