,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.21457,1.211822976966547,1.21514,1.211778982514121,1.21978,1.2119792075398856,1.22671,1.2120874928449177,1.22452,1.2124059901187558,1.22386,1.2124913664600592,1.21643,1.212552624122369,1.21904,1.2126886427075498,1.21807,1.2128585608232663,1.22092,1.21310231526954,1.22534,1.213373024228391,1.22974,1.213512473791385,1.2216,1.2138756019056438,1.22506,1.2140678790827644
1,1.21514,1.2148261639121267,1.21978,1.2147956625484733,1.22671,1.2150313433884514,1.22452,1.2150827784897922,1.22386,1.2153424541865172,1.21643,1.215462064977961,1.21904,1.215516945281612,1.21807,1.2157254259290278,1.22092,1.2158769351589365,1.22534,1.2160847052363317,1.22974,1.2163825225506082,1.2216,1.2166316819274436,1.22506,1.2169120550169248,1.22968,1.217060701914212
2,1.21978,1.2153990786025395,1.22671,1.2153769353369432,1.22452,1.215594632076071,1.22386,1.2157008739211312,1.21643,1.2160234484087857,1.21904,1.2161299492051774,1.21807,1.2161891857156013,1.22092,1.2163536303757871,1.22534,1.2165321493718955,1.22974,1.2167621954338108,1.2216,1.2170404885598407,1.22506,1.2171994157886081,1.22968,1.2175350656959643,1.2328,1.2177313001500158
3,1.22671,1.2200402672902868,1.22452,1.2199863044776151,1.22386,1.220200586391556,1.21643,1.2202435757832149,1.21904,1.220521273735912,1.21807,1.2206436818856758,1.22092,1.2206984774899041,1.22534,1.2209141045828886,1.22974,1.221056878763747,1.2216,1.2212579566045036,1.22506,1.2215541769333953,1.22968,1.2218067285071896,1.2328,1.2220710067418707,1.22661,1.2222361373938924
4,1.22452,1.2269892396699078,1.22386,1.2269064525072253,1.21643,1.2271088577445852,1.21904,1.227158988404969,1.21807,1.227431479915228,1.22092,1.2275253139242495,1.22534,1.2275647569232178,1.22974,1.227757921825375,1.2216,1.227884013108539,1.22506,1.228090855370371,1.22968,1.2283521458640252,1.2328,1.2285583987878426,1.22661,1.2288482097547757,1.22238,1.2289944385166536
5,1.22386,1.2247571472364758,1.21643,1.224722975988941,1.21904,1.2249250281968376,1.21807,1.2250428952177277,1.22092,1.2253552178228961,1.22534,1.22547775301088,1.22974,1.2255267218026962,1.2216,1.22570017692148,1.22506,1.2258712614314096,1.22968,1.226092282453708,1.2328,1.2263736842471804,1.22661,1.226548412774962,1.22238,1.2269001685092622,1.21526,1.2270960631906451
6,1.21643,1.2241023746918793,1.21904,1.2241163874641054,1.21807,1.2243227480429917,1.22092,1.2244102386393345,1.22534,1.224733405360835,1.22974,1.2248577725912904,1.2216,1.224928237286745,1.22506,1.2251032596759026,1.22968,1.225290521142538,1.2328,1.2255202678424533,1.22661,1.2258181013384595,1.22238,1.2260144954852288,1.21526,1.2263286970045877,1.22055,1.2265403461278177
7,1.21904,1.2166629174312762,1.21807,1.2166683719929638,1.22092,1.2168912525317497,1.22534,1.217020304736761,1.22974,1.2173782661644141,1.2216,1.217500535619874,1.22506,1.2175651179000484,1.22968,1.217737063301283,1.2328,1.2179235065573808,1.22661,1.2181713699115422,1.22238,1.2184996289593615,1.21526,1.2186813755848194,1.22055,1.2190209177802531,1.2157,1.219253712044119
8,1.21807,1.2193134034787863,1.22092,1.2192904591247997,1.22534,1.2195244281938857,1.22974,1.2195716522401698,1.2216,1.219870554166896,1.22506,1.2199984765030012,1.22968,1.2200365407116396,1.2328,1.2202630326137796,1.22661,1.2204125035569222,1.22238,1.2206130715858807,1.21526,1.2209048978766577,1.22055,1.2211522582002134,1.2157,1.2214183694523444,1.21519,1.221577264026614
9,1.22092,1.2183194053915143,1.22534,1.2182829860513378,1.22974,1.218499005609476,1.2216,1.2185988355023367,1.22506,1.2189232617503079,1.22968,1.2190294305374776,1.2328,1.2190932259519398,1.22661,1.2192479104388552,1.22238,1.2194329972090712,1.21526,1.2196739446200011,1.22055,1.2199587971091317,1.2157,1.2201106654948601,1.21519,1.2204543689559726,1.20778,1.2206495236433623
10,1.22534,1.2211764984897617,1.22974,1.221133274739508,1.2216,1.2213608612803672,1.22506,1.221417145265399,1.22968,1.2216972620083415,1.2328,1.2218243703248608,1.22661,1.2218791559064575,1.22238,1.2220883574703056,1.21526,1.2222406212315708,1.22055,1.2224492644820875,1.2157,1.2227532955805818,1.21519,1.2229972362331627,1.20778,1.2232772155769216,1.20782,1.2234455641667172
11,1.22974,1.2256078938326427,1.2216,1.2255525040591637,1.22506,1.225760495907747,1.22968,1.2258262798195974,1.2328,1.2261182984575898,1.22661,1.2262201685798972,1.22238,1.2262717358999398,1.21526,1.2264555916072313,1.22055,1.2266016984822672,1.2157,1.2268162694117963,1.21519,1.2270916691514175,1.20778,1.2272865005680105,1.20782,1.2275910980561493,1.21283,1.2277594169018302
12,1.2216,1.2299902003335395,1.22506,1.2299351092745003,1.22968,1.2301440635285492,1.2328,1.2302045744120353,1.22661,1.2304847823081748,1.22238,1.2305858717056783,1.21526,1.2306421518126247,1.22055,1.2308156593037514,1.2157,1.2309686048659008,1.21519,1.2311823003522098,1.20778,1.23146335816751,1.20782,1.2316700378116896,1.21283,1.2319694246664388,1.211,1.2321347492954904
13,1.22506,1.2218361741644563,1.22968,1.2218290062316206,1.2328,1.2220370142473818,1.22661,1.2221724130955969,1.22238,1.2225096516064347,1.21526,1.2226194728151873,1.22055,1.2226730991111814,1.2157,1.2228410119147717,1.21519,1.2230066969947635,1.20778,1.2232481383704559,1.20782,1.223552609140517,1.21283,1.2237331357042982,1.211,1.224078291359239,1.21678,1.2242900200086857
14,1.22968,1.2253347994149104,1.2328,1.2253152259102231,1.22661,1.2255506306712656,1.22238,1.2255872983071336,1.21526,1.2258686823181657,1.22055,1.2259892312715843,1.2157,1.2260356551989995,1.21519,1.2262719425045967,1.20778,1.2264152578566305,1.20782,1.226611998571813,1.21283,1.226896090694269,1.211,1.2271460246404482,1.21678,1.227407466415813,1.21663,1.2275523380369728
15,1.2328,1.2299595758773574,1.22661,1.229880799011509,1.22238,1.2300940111996095,1.21526,1.2301587108264282,1.22055,1.2304472884603381,1.2157,1.230539835810843,1.21519,1.2305861517594092,1.20778,1.2307679352448684,1.20782,1.2309146657276795,1.21283,1.2311368870938093,1.211,1.2313942322722067,1.21678,1.2315751037745866,1.21663,1.2318794717499184,1.21436,1.2320315518805653
16,1.22661,1.2330487943856976,1.22238,1.2329898960472316,1.21526,1.233212836074247,1.22055,1.2332891828575636,1.2157,1.2335718961860518,1.21519,1.2336805600518825,1.20778,1.2337323746817244,1.20782,1.2339028323533536,1.21283,1.2340652387267734,1.211,1.2342810788597969,1.21678,1.2345629875546844,1.21663,1.234764834798855,1.21436,1.2350705883493471,1.2162,1.2352424338516836
17,1.22238,1.226845237297602,1.21526,1.2268492189926468,1.22055,1.227057642742074,1.2157,1.2271900408980576,1.21519,1.2275302529181493,1.20778,1.227650552946506,1.20782,1.2277083615247824,1.21283,1.2278822854044114,1.211,1.2280570840869762,1.21678,1.2282939649360918,1.21663,1.2286041234968428,1.21436,1.2287849772167823,1.2162,1.2291325981989933,1.21089,1.2293564854392747
18,1.21526,1.222609901226703,1.22055,1.2226268923830748,1.2157,1.2228367379273795,1.21519,1.2229411267242785,1.20778,1.223297746552659,1.20782,1.2234182421660325,1.21283,1.223483467451685,1.211,1.2236675837255706,1.21678,1.2238740144446882,1.21663,1.2241248881826567,1.21436,1.2244413953365683,1.2162,1.2246276465510408,1.21089,1.2249545691509656,1.2122,1.225187636263242
19,1.22055,1.2154913711884199,1.2157,1.215493732600691,1.21519,1.2157232245547782,1.20778,1.2158425072223615,1.20782,1.2162013757873062,1.21283,1.2163320566863256,1.211,1.2163897033017854,1.21678,1.216568505492716,1.21663,1.2167729027854073,1.21436,1.217021428862892,1.2162,1.2173512228467296,1.21089,1.2175411533237928,1.2122,1.2178760570962475,1.2136,1.2181108314537703
20,1.2157,1.2208395678626374,1.21519,1.2207815430283488,1.20778,1.2210247052262246,1.20782,1.2210398494808004,1.21283,1.221312974639656,1.211,1.2214416282386054,1.21678,1.2214475994028333,1.21663,1.2217135179876066,1.21436,1.221832543319121,1.2162,1.2220097918166146,1.21089,1.2222952514116485,1.2122,1.222591659547558,1.2136,1.2228220605597897,1.20619,1.2229402211146378
21,1.21519,1.2159379273209954,1.20778,1.2158930254220497,1.20782,1.21610721197729,1.21283,1.2162183912871871,1.211,1.216533102298202,1.21678,1.216603933592781,1.21663,1.2166597717762517,1.21436,1.2167773058129416,1.2162,1.216942898430064,1.21089,1.2172063671708049,1.2122,1.217481836090231,1.2136,1.2176182600626664,1.20619,1.2179835599629616,1.20439,1.2181745698719926
