,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.33297,1.3222595032497075,1.34513,1.3225286680175223,1.35029,1.322642533203517,1.35858,1.322672764787395,1.34991,1.3228646013470744,1.34513,1.3228495528140876,1.33621,1.323224985765929,1.35003,1.3235291864524434,1.35283,1.3233424565090637,1.34526,1.3235527073533113,1.35023,1.3240645156159836,1.36177,1.3245185117387983,1.36721,1.324742928304996,1.35761,1.3247128857905146
1,1.34513,1.3327795032497076,1.35029,1.3330486680175224,1.35858,1.333162533203517,1.34991,1.3331927647873951,1.34513,1.3333846013470745,1.33621,1.3333695528140876,1.35003,1.3337449857659291,1.35283,1.3340491864524435,1.34526,1.3338624565090638,1.35023,1.3340727073533114,1.36177,1.3345845156159837,1.36721,1.3350385117387984,1.35761,1.3352629283049962,1.36226,1.3352328857905147
2,1.35029,1.3449395032497076,1.35858,1.3452086680175224,1.34991,1.345322533203517,1.34513,1.345352764787395,1.33621,1.3455446013470744,1.35003,1.3455295528140876,1.35283,1.345904985765929,1.34526,1.3462091864524435,1.35023,1.3460224565090637,1.36177,1.3462327073533114,1.36721,1.3467445156159836,1.35761,1.3471985117387983,1.36226,1.347422928304996,1.36106,1.3473928857905146
3,1.35858,1.3500995032497076,1.34991,1.3503686680175224,1.34513,1.350482533203517,1.33621,1.3505127647873951,1.35003,1.3507046013470745,1.35283,1.3506895528140876,1.34526,1.3510649857659291,1.35023,1.3513691864524435,1.36177,1.3511824565090638,1.36721,1.3513927073533114,1.35761,1.3519045156159837,1.36226,1.3523585117387984,1.36106,1.3525829283049962,1.35643,1.3525528857905147
4,1.34991,1.3583895032497075,1.34513,1.3586586680175223,1.33621,1.358772533203517,1.35003,1.358802764787395,1.35283,1.3589946013470744,1.34526,1.3589795528140876,1.35023,1.359354985765929,1.36177,1.3596591864524434,1.36721,1.3594724565090637,1.35761,1.3596827073533113,1.36226,1.3601945156159836,1.36106,1.3606485117387983,1.35643,1.360872928304996,1.35593,1.3608428857905146
5,1.34513,1.3497195032497076,1.33621,1.3499886680175224,1.35003,1.350102533203517,1.35283,1.350132764787395,1.34526,1.3503246013470744,1.35023,1.3503095528140876,1.36177,1.350684985765929,1.36721,1.3509891864524435,1.35761,1.3508024565090637,1.36226,1.3510127073533114,1.36106,1.3515245156159836,1.35643,1.3519785117387983,1.35593,1.352202928304996,1.35096,1.3521728857905146
6,1.33621,1.3449395032497076,1.35003,1.3452086680175224,1.35283,1.345322533203517,1.34526,1.345352764787395,1.35023,1.3455446013470744,1.36177,1.3455295528140876,1.36721,1.345904985765929,1.35761,1.3462091864524435,1.36226,1.3460224565090637,1.36106,1.3462327073533114,1.35643,1.3467445156159836,1.35593,1.3471985117387983,1.35096,1.347422928304996,1.36635,1.3473928857905146
7,1.35003,1.3360195032497075,1.35283,1.3362886680175223,1.34526,1.336402533203517,1.35023,1.336432764787395,1.36177,1.3366246013470744,1.36721,1.3366095528140876,1.35761,1.336984985765929,1.36226,1.3372891864524434,1.36106,1.3371024565090637,1.35643,1.3373127073533113,1.35593,1.3378245156159836,1.35096,1.3382785117387983,1.36635,1.338502928304996,1.36412,1.3384728857905146
8,1.35283,1.3498395032497077,1.34526,1.3501086680175225,1.35023,1.3502225332035172,1.36177,1.3502527647873952,1.36721,1.3504446013470746,1.35761,1.3504295528140877,1.36226,1.3508049857659292,1.36106,1.3511091864524436,1.35643,1.3509224565090638,1.35593,1.3511327073533115,1.35096,1.3516445156159838,1.36635,1.3520985117387985,1.36412,1.3523229283049962,1.36881,1.3522928857905148
9,1.34526,1.3526395032497076,1.35023,1.3529086680175224,1.36177,1.353022533203517,1.36721,1.3530527647873951,1.35761,1.3532446013470745,1.36226,1.3532295528140876,1.36106,1.3536049857659291,1.35643,1.3539091864524435,1.35593,1.3537224565090638,1.35096,1.3539327073533114,1.36635,1.3544445156159837,1.36412,1.3548985117387984,1.36881,1.3551229283049961,1.3584,1.3550928857905147
10,1.35023,1.3450695032497075,1.36177,1.3453386680175223,1.36721,1.345452533203517,1.35761,1.345482764787395,1.36226,1.3456746013470744,1.36106,1.3456595528140876,1.35643,1.346034985765929,1.35593,1.3463391864524434,1.35096,1.3461524565090637,1.36635,1.3463627073533113,1.36412,1.3468745156159836,1.36881,1.3473285117387983,1.3584,1.347552928304996,1.35833,1.3475228857905146
11,1.36177,1.3500395032497077,1.36721,1.3503086680175225,1.35761,1.3504225332035171,1.36226,1.3504527647873952,1.36106,1.3506446013470745,1.35643,1.3506295528140877,1.35593,1.3510049857659292,1.35096,1.3513091864524436,1.36635,1.3511224565090638,1.36412,1.3513327073533115,1.36881,1.3518445156159837,1.3584,1.3522985117387984,1.35833,1.3525229283049962,1.36336,1.3524928857905147
12,1.36721,1.3615795032497076,1.35761,1.3618486680175224,1.36226,1.361962533203517,1.36106,1.361992764787395,1.35643,1.3621846013470744,1.35593,1.3621695528140876,1.35096,1.362544985765929,1.36635,1.3628491864524435,1.36412,1.3626624565090637,1.36881,1.3628727073533113,1.3584,1.3633845156159836,1.35833,1.3638385117387983,1.36336,1.364062928304996,1.36545,1.3640328857905146
13,1.35761,1.3670195032497077,1.36226,1.3672886680175225,1.36106,1.3674025332035171,1.35643,1.3674327647873952,1.35593,1.3676246013470745,1.35096,1.3676095528140877,1.36635,1.3679849857659292,1.36412,1.3682891864524436,1.36881,1.3681024565090638,1.3584,1.3683127073533115,1.35833,1.3688245156159837,1.36336,1.3692785117387984,1.36545,1.3695029283049962,1.37321,1.3694728857905147
14,1.36226,1.3574195032497076,1.36106,1.3576886680175224,1.35643,1.357802533203517,1.35593,1.3578327647873951,1.35096,1.3580246013470745,1.36635,1.3580095528140876,1.36412,1.3583849857659291,1.36881,1.3586891864524435,1.3584,1.3585024565090638,1.35833,1.3587127073533114,1.36336,1.3592245156159837,1.36545,1.3596785117387984,1.37321,1.3599029283049962,1.36798,1.3598728857905147
15,1.36106,1.3620695032497077,1.35643,1.3623386680175225,1.35593,1.3624525332035171,1.35096,1.3624827647873952,1.36635,1.3626746013470745,1.36412,1.3626595528140877,1.36881,1.3630349857659292,1.3584,1.3633391864524436,1.35833,1.3631524565090638,1.36336,1.3633627073533114,1.36545,1.3638745156159837,1.37321,1.3643285117387984,1.36798,1.3645529283049962,1.36745,1.3645228857905147
16,1.35643,1.3608695032497076,1.35593,1.3611386680175224,1.35096,1.361252533203517,1.36635,1.361282764787395,1.36412,1.3614746013470744,1.36881,1.3614595528140876,1.3584,1.361834985765929,1.35833,1.3621391864524435,1.36336,1.3619524565090637,1.36545,1.3621627073533114,1.37321,1.3626745156159836,1.36798,1.3631285117387983,1.36745,1.363352928304996,1.37348,1.3633228857905146
17,1.35593,1.3562395032497077,1.35096,1.3565086680175225,1.36635,1.3566225332035171,1.36412,1.3566527647873952,1.36881,1.3568446013470745,1.3584,1.3568295528140877,1.35833,1.3572049857659292,1.36336,1.3575091864524436,1.36545,1.3573224565090638,1.37321,1.3575327073533114,1.36798,1.3580445156159837,1.36745,1.3584985117387984,1.37348,1.3587229283049962,1.36929,1.3586928857905147
18,1.35096,1.3557395032497077,1.36635,1.3560086680175225,1.36412,1.3561225332035172,1.36881,1.3561527647873952,1.3584,1.3563446013470746,1.35833,1.3563295528140877,1.36336,1.3567049857659292,1.36545,1.3570091864524436,1.37321,1.3568224565090639,1.36798,1.3570327073533115,1.36745,1.3575445156159838,1.37348,1.3579985117387985,1.36929,1.3582229283049962,1.3728,1.3581928857905148
19,1.36635,1.3507695032497076,1.36412,1.3510386680175224,1.36881,1.351152533203517,1.3584,1.351182764787395,1.35833,1.3513746013470744,1.36336,1.3513595528140876,1.36545,1.351734985765929,1.37321,1.3520391864524435,1.36798,1.3518524565090637,1.36745,1.3520627073533114,1.37348,1.3525745156159836,1.36929,1.3530285117387983,1.3728,1.353252928304996,1.3702,1.3532228857905146
20,1.36412,1.3661595032497076,1.36881,1.3664286680175224,1.3584,1.366542533203517,1.35833,1.366572764787395,1.36336,1.3667646013470744,1.36545,1.3667495528140876,1.37321,1.3671249857659291,1.36798,1.3674291864524435,1.36745,1.3672424565090637,1.37348,1.3674527073533114,1.36929,1.3679645156159836,1.3728,1.3684185117387984,1.3702,1.3686429283049961,1.36666,1.3686128857905147
21,1.36881,1.3639295032497076,1.3584,1.3641986680175224,1.35833,1.364312533203517,1.36336,1.3643427647873951,1.36545,1.3645346013470745,1.37321,1.3645195528140877,1.36798,1.3648949857659292,1.36745,1.3651991864524435,1.37348,1.3650124565090638,1.36929,1.3652227073533114,1.3728,1.3657345156159837,1.3702,1.3661885117387984,1.36666,1.3664129283049962,1.36635,1.3663828857905147
22,1.3584,1.3686195032497077,1.35833,1.3688886680175225,1.36336,1.3690025332035172,1.36545,1.3690327647873952,1.37321,1.3692246013470746,1.36798,1.3692095528140877,1.36745,1.3695849857659292,1.37348,1.3698891864524436,1.36929,1.3697024565090639,1.3728,1.3699127073533115,1.3702,1.3704245156159838,1.36666,1.3708785117387985,1.36635,1.3711029283049962,1.36453,1.3710728857905148
23,1.35833,1.3582095032497077,1.36336,1.3584786680175225,1.36545,1.3585925332035171,1.37321,1.3586227647873952,1.36798,1.3588146013470745,1.36745,1.3587995528140877,1.37348,1.3591749857659292,1.36929,1.3594791864524436,1.3728,1.3592924565090638,1.3702,1.3595027073533115,1.36666,1.3600145156159837,1.36635,1.3604685117387985,1.36453,1.3606929283049962,1.36678,1.3606628857905148
24,1.36336,1.3581395032497077,1.36545,1.3584086680175225,1.37321,1.3585225332035171,1.36798,1.3585527647873952,1.36745,1.3587446013470745,1.37348,1.3587295528140877,1.36929,1.3591049857659292,1.3728,1.3594091864524436,1.3702,1.3592224565090638,1.36666,1.3594327073533115,1.36635,1.3599445156159837,1.36453,1.3603985117387984,1.36678,1.3606229283049962,1.37378,1.3605928857905147
25,1.36545,1.3631695032497075,1.37321,1.3634386680175223,1.36798,1.363552533203517,1.36745,1.363582764787395,1.37348,1.3637746013470744,1.36929,1.3637595528140876,1.3728,1.364134985765929,1.3702,1.3644391864524434,1.36666,1.3642524565090637,1.36635,1.3644627073533113,1.36453,1.3649745156159836,1.36678,1.3654285117387983,1.37378,1.365652928304996,1.37397,1.3656228857905146
