,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.33297,1.3225677137528429,1.34513,1.322868834555603,1.35029,1.3230244008885812,1.35858,1.3230059463315875,1.34991,1.3228004221531329,1.34513,1.3229064847258734,1.33621,1.322919917189548,1.35003,1.3228271141473407,1.35283,1.3229871518182073,1.34526,1.3231296004290662,1.35023,1.3233782400114897,1.36177,1.3235593247576354,1.36721,1.3240954642300231,1.35761,1.324253094664865
1,1.34513,1.333087713752843,1.35029,1.333388834555603,1.35858,1.3335444008885813,1.34991,1.3335259463315876,1.34513,1.333320422153133,1.33621,1.3334264847258734,1.35003,1.3334399171895481,1.35283,1.3333471141473408,1.34526,1.3335071518182073,1.35023,1.3336496004290663,1.36177,1.3338982400114898,1.36721,1.3340793247576355,1.35761,1.3346154642300232,1.36226,1.334773094664865
2,1.35029,1.345247713752843,1.35858,1.345548834555603,1.34991,1.3457044008885812,1.34513,1.3456859463315876,1.33621,1.345480422153133,1.35003,1.3455864847258734,1.35283,1.345599917189548,1.34526,1.3455071141473407,1.35023,1.3456671518182073,1.36177,1.3458096004290663,1.36721,1.3460582400114898,1.35761,1.3462393247576354,1.36226,1.3467754642300231,1.36106,1.346933094664865
3,1.35858,1.350407713752843,1.34991,1.350708834555603,1.34513,1.3508644008885813,1.33621,1.3508459463315876,1.35003,1.350640422153133,1.35283,1.3507464847258734,1.34526,1.3507599171895481,1.35023,1.3506671141473408,1.36177,1.3508271518182073,1.36721,1.3509696004290663,1.35761,1.3512182400114898,1.36226,1.3513993247576355,1.36106,1.3519354642300232,1.35643,1.352093094664865
4,1.34991,1.3586977137528429,1.34513,1.358998834555603,1.33621,1.3591544008885812,1.35003,1.3591359463315875,1.35283,1.3589304221531329,1.34526,1.3590364847258734,1.35023,1.359049917189548,1.36177,1.3589571141473407,1.36721,1.3591171518182072,1.35761,1.3592596004290662,1.36226,1.3595082400114897,1.36106,1.3596893247576354,1.35643,1.360225464230023,1.35593,1.360383094664865
5,1.34513,1.350027713752843,1.33621,1.350328834555603,1.35003,1.3504844008885812,1.35283,1.3504659463315876,1.34526,1.350260422153133,1.35023,1.3503664847258734,1.36177,1.350379917189548,1.36721,1.3502871141473407,1.35761,1.3504471518182073,1.36226,1.3505896004290663,1.36106,1.3508382400114898,1.35643,1.3510193247576354,1.35593,1.3515554642300232,1.35096,1.351713094664865
6,1.33621,1.345247713752843,1.35003,1.345548834555603,1.35283,1.3457044008885812,1.34526,1.3456859463315876,1.35023,1.345480422153133,1.36177,1.3455864847258734,1.36721,1.345599917189548,1.35761,1.3455071141473407,1.36226,1.3456671518182073,1.36106,1.3458096004290663,1.35643,1.3460582400114898,1.35593,1.3462393247576354,1.35096,1.3467754642300231,1.36635,1.346933094664865
7,1.35003,1.3363277137528429,1.35283,1.336628834555603,1.34526,1.3367844008885812,1.35023,1.3367659463315875,1.36177,1.3365604221531329,1.36721,1.3366664847258733,1.35761,1.336679917189548,1.36226,1.3365871141473407,1.36106,1.3367471518182072,1.35643,1.3368896004290662,1.35593,1.3371382400114897,1.35096,1.3373193247576354,1.36635,1.337855464230023,1.36412,1.338013094664865
8,1.35283,1.350147713752843,1.34526,1.3504488345556032,1.35023,1.3506044008885814,1.36177,1.3505859463315877,1.36721,1.350380422153133,1.35761,1.3504864847258735,1.36226,1.3504999171895482,1.36106,1.3504071141473408,1.35643,1.3505671518182074,1.35593,1.3507096004290664,1.35096,1.35095824001149,1.36635,1.3511393247576355,1.36412,1.3516754642300233,1.36881,1.3518330946648651
9,1.34526,1.352947713752843,1.35023,1.353248834555603,1.36177,1.3534044008885813,1.36721,1.3533859463315876,1.35761,1.353180422153133,1.36226,1.3532864847258734,1.36106,1.3532999171895481,1.35643,1.3532071141473407,1.35593,1.3533671518182073,1.35096,1.3535096004290663,1.36635,1.3537582400114898,1.36412,1.3539393247576355,1.36881,1.3544754642300232,1.3584,1.354633094664865
10,1.35023,1.3453777137528429,1.36177,1.345678834555603,1.36721,1.3458344008885812,1.35761,1.3458159463315875,1.36226,1.3456104221531329,1.36106,1.3457164847258734,1.35643,1.345729917189548,1.35593,1.3456371141473407,1.35096,1.3457971518182072,1.36635,1.3459396004290662,1.36412,1.3461882400114897,1.36881,1.3463693247576354,1.3584,1.346905464230023,1.35833,1.347063094664865
11,1.36177,1.350347713752843,1.36721,1.3506488345556031,1.35761,1.3508044008885813,1.36226,1.3507859463315877,1.36106,1.350580422153133,1.35643,1.3506864847258735,1.35593,1.3506999171895482,1.35096,1.3506071141473408,1.36635,1.3507671518182074,1.36412,1.3509096004290664,1.36881,1.3511582400114899,1.3584,1.3513393247576355,1.35833,1.3518754642300232,1.36336,1.352033094664865
12,1.36721,1.361887713752843,1.35761,1.362188834555603,1.36226,1.3623444008885812,1.36106,1.3623259463315875,1.35643,1.362120422153133,1.35593,1.3622264847258734,1.35096,1.362239917189548,1.36635,1.3621471141473407,1.36412,1.3623071518182073,1.36881,1.3624496004290663,1.3584,1.3626982400114898,1.35833,1.3628793247576354,1.36336,1.3634154642300231,1.36545,1.363573094664865
13,1.35761,1.367327713752843,1.36226,1.3676288345556031,1.36106,1.3677844008885813,1.35643,1.3677659463315877,1.35593,1.367560422153133,1.35096,1.3676664847258735,1.36635,1.3676799171895482,1.36412,1.3675871141473408,1.36881,1.3677471518182074,1.3584,1.3678896004290664,1.35833,1.3681382400114899,1.36336,1.3683193247576355,1.36545,1.3688554642300232,1.37321,1.369013094664865
14,1.36226,1.357727713752843,1.36106,1.358028834555603,1.35643,1.3581844008885813,1.35593,1.3581659463315876,1.35096,1.357960422153133,1.36635,1.3580664847258734,1.36412,1.3580799171895481,1.36881,1.3579871141473407,1.3584,1.3581471518182073,1.35833,1.3582896004290663,1.36336,1.3585382400114898,1.36545,1.3587193247576355,1.37321,1.3592554642300232,1.36798,1.359413094664865
15,1.36106,1.362377713752843,1.35643,1.3626788345556031,1.35593,1.3628344008885813,1.35096,1.3628159463315876,1.36635,1.362610422153133,1.36412,1.3627164847258735,1.36881,1.3627299171895482,1.3584,1.3626371141473408,1.35833,1.3627971518182074,1.36336,1.3629396004290664,1.36545,1.3631882400114899,1.37321,1.3633693247576355,1.36798,1.3639054642300232,1.36745,1.364063094664865
