,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,1.33297,1.3225037834821443,1.34513,1.3226857268785999,1.35029,1.32292704985991,1.35858,1.323095408679702,1.34991,1.3234297882048587,1.34513,1.3234794775311194,1.33621,1.323713181799004,1.35003,1.3238752808359742,1.35283,1.3239127952805312,1.34526,1.3240783176701107,1.35023,1.3239297331568842,1.36177,1.3241747612449863,1.36721,1.3244536398527735,1.35761,1.324260830526665
1,1.34513,1.3330866663569165,1.35029,1.3332766904755542,1.35858,1.3334926150824455,1.34991,1.3336585377661092,1.34513,1.3340351737538865,1.33621,1.3340682481471728,1.35003,1.3341825023786211,1.35283,1.3343670916334074,1.34526,1.3344528922285233,1.35023,1.3345058577911684,1.36177,1.3343404610864806,1.36721,1.3346038256646122,1.35761,1.3348516497577063,1.36226,1.3346029130558006
2,1.35029,1.3452512854258483,1.35858,1.3454605578720755,1.34991,1.3456574812720017,1.34513,1.3458443717084545,1.33621,1.3461914081693347,1.35003,1.346237564115955,1.35283,1.3463202288970304,1.34526,1.3464865810659201,1.35023,1.34657186495163,1.36177,1.3466685720544145,1.36721,1.3464743907009786,1.35761,1.3467236591589706,1.36226,1.3469866447179182,1.36106,1.346738787504665
3,1.35858,1.350427552342494,1.34991,1.3506347433555266,1.34513,1.3508290215083025,1.33621,1.3510193322560144,1.35003,1.3513618119592639,1.35283,1.3514093575483048,1.34526,1.3514868795515713,1.35023,1.3516525572537421,1.36177,1.3517397517477139,1.36721,1.351839070359033,1.35761,1.3516345280856104,1.36226,1.3518769124545134,1.36106,1.3521447900181147,1.35643,1.351897968348253
4,1.34991,1.3586722880280995,1.34513,1.3588893092818743,1.33621,1.359067486788188,1.35003,1.3592636858810856,1.35283,1.3596175581041443,1.34526,1.3596595472480821,1.35023,1.3597471727334032,1.36177,1.3599140707882889,1.36721,1.3599959553320495,1.35761,1.3600788033872213,1.36226,1.3598765194400748,1.36106,1.360134881040647,1.35643,1.3603725712527357,1.35593,1.3601150930698331
5,1.34513,1.349991183949078,1.33621,1.3501445916509511,1.35003,1.350411678958244,1.35283,1.3505582703538495,1.34526,1.3509133686921815,1.35023,1.3509791425559343,1.36177,1.3511744444068428,1.36721,1.3513493684687092,1.35761,1.3514201039534783,1.36226,1.3515489506563427,1.36106,1.3513851089402125,1.35643,1.3516123719628923,1.35593,1.3519025488522858,1.35096,1.3517005133790918
6,1.33621,1.345194772364567,1.35003,1.3453955634889379,1.35283,1.3456105406933883,1.34526,1.3457953949822066,1.35023,1.346133194527584,1.36177,1.346173340540491,1.36721,1.3463658074745861,1.35761,1.3465285910045448,1.36226,1.34657893563629,1.36106,1.3467092953890922,1.35643,1.3465493824863468,1.35593,1.3468061441329435,1.35096,1.3470623775159136,1.36635,1.3468392899470298
7,1.35003,1.3362568705256934,1.35283,1.3364184458683384,1.34526,1.3366668222357192,1.35023,1.336820107454122,1.36177,1.3371333274467987,1.36721,1.3371952940784184,1.35761,1.337445303840076,1.36226,1.3376018379336245,1.36106,1.3376369581915868,1.35643,1.3377995180149527,1.35593,1.3376629776854032,1.35096,1.337903332906143,1.36635,1.3381998340287908,1.36412,1.3380196785970555
8,1.35283,1.3501581798467972,1.34526,1.3503352786487388,1.35023,1.3505723290567706,1.36177,1.3507294683062658,1.36721,1.351107889057342,1.35761,1.3511408680118924,1.36226,1.3512627637668932,1.36106,1.3514534766276787,1.35643,1.3515469631151367,1.35593,1.3515973241614423,1.35096,1.351446050032276,1.36635,1.3517060900507507,1.36412,1.3519678342731216,1.36881,1.3517389168577514
9,1.34526,1.35303614330424,1.35023,1.353203985414626,1.36177,1.3534632017364912,1.36721,1.3536239494389575,1.35761,1.3539527095965296,1.36226,1.354012676263852,1.36106,1.3540981309672189,1.35643,1.3542716769336094,1.35593,1.3543699709373014,1.35096,1.3544923396368231,1.36635,1.3543007226800965,1.36412,1.3545152409316925,1.36881,1.3548473830998828,1.3584,1.3546380822337651
10,1.35023,1.3453224894237261,1.36177,1.3455080002367519,1.36721,1.3457413595223822,1.35761,1.3459137474473588,1.36226,1.3462381052431207,1.36106,1.3462897328335581,1.35643,1.3464909686208026,1.35593,1.3466612143437866,1.35096,1.3467089796885754,1.36635,1.3468524638428259,1.36412,1.3466832741814339,1.36881,1.346930482175541,1.3584,1.3472029830863372,1.35833,1.347006906331391
11,1.36177,1.3503351586368704,1.36721,1.3505301209770446,1.35761,1.3507343558121543,1.36226,1.3509065315847588,1.36106,1.3512829049686739,1.35643,1.3513172337516048,1.35593,1.3514248336832575,1.35096,1.3516041321381531,1.36635,1.351691439394916,1.36412,1.351749295761682,1.36881,1.3515752578532452,1.3584,1.351839319671843,1.35833,1.3520805083098717,1.36336,1.3518306245095923
12,1.36721,1.3618649910245253,1.35761,1.362067897910059,1.36226,1.362269989306263,1.36106,1.362446024290442,1.35643,1.362809359565766,1.35593,1.3628554367901629,1.35096,1.362952446929306,1.36635,1.363125268588668,1.36412,1.3632112609707505,1.36881,1.3632938804589898,1.3584,1.3631067442843445,1.35833,1.3633636885865812,1.36336,1.3636139126397424,1.36545,1.3633653841466398
