,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,121.79,108.65838342666626,114.33,109.02000573039055,107.36,109.38472363114357,112.09,109.6878523504734,103.73,110.23720100283623,110.21,110.72265240311623,123.75,110.90790162742138,128.52,110.81399172306061,127.97,111.58836501598358,129.23,112.00875970482826,126.22,112.46584769845009,127.72,112.95351865649224,124.77,113.56754734873772,126.16,113.9431735253334
1,114.33,122.16143090367318,107.36,122.53215433001519,112.09,122.89563042759896,103.73,123.21865359783173,110.21,123.76921532392502,123.75,124.25091723442078,128.52,124.4427769714594,127.97,124.33043186455966,129.23,125.11499510794879,126.22,125.52498863726855,127.72,125.98131246954203,124.77,126.47353048712016,126.16,127.09642888695002,136.62,127.48344482570887
2,107.36,114.67946292638779,112.09,115.01376716971397,103.73,115.36473436832428,110.21,115.69103639006615,123.75,116.21387927412987,128.52,116.66780181407928,127.97,116.8437969404459,129.23,116.70973622977733,126.22,117.44046008765697,127.72,117.8130209761858,124.77,118.25187725007534,126.16,118.7264708596468,136.62,119.33747157633304,157.21,119.70947095930576
3,112.09,107.63991116046905,103.73,107.89799799084663,110.21,108.22434894800186,123.75,108.53219093441963,128.52,109.0008294737339,127.97,109.40401290416717,129.23,109.5413327819109,126.22,109.38347359061241,127.72,110.00340379834175,124.77,110.31763728022575,126.16,110.72051240563393,136.62,111.15419413208961,157.21,111.73143167853355,152.64,112.05902753829956
4,103.73,112.30642862260342,110.21,112.50846817731858,123.75,112.80803769469262,128.52,113.08767860770226,127.97,113.51301720380783,129.23,113.87202387690544,126.22,113.9745251724124,127.72,113.79678163319826,124.77,114.33623472243548,126.16,114.61059776335955,136.62,114.97480619341135,157.21,115.37083006292582,152.64,115.91504455000162,161.37,116.19661844164133
5,110.21,103.87670522511006,123.75,104.02182460904122,128.52,104.2942236173153,127.97,104.53892865359784,129.23,104.92083993136883,126.22,105.23662510097027,127.72,105.30159122079611,124.77,105.108045193851,126.16,105.56598669618369,136.62,105.80420857995749,157.21,106.12660891145468,152.64,106.48281747430563,161.37,106.98978722423315,165.9,107.22029193073512
6,123.75,110.31633697360753,128.52,110.43696281969547,127.97,110.68689600288867,129.23,110.90054901599883,126.22,111.25993546009063,127.72,111.55242695569991,124.77,111.59438208401203,126.16,111.3922684854269,136.62,111.81879217088222,157.21,112.04381322026252,152.64,112.33100666761398,161.37,112.66353791117668,165.9,113.14372932076454,171.86,113.33726809084415
7,128.52,123.85263564437628,127.97,123.98164733499289,129.23,124.21383651345968,126.22,124.41040717810392,127.72,124.76525744050741,124.77,125.0488334223628,126.16,125.08363751322031,136.62,124.86904843896627,157.21,125.31097000092268,152.64,125.53642206639051,161.37,125.79286404699087,165.9,126.11668946594,171.86,126.58227746933699,173.17,126.75690653175116
8,127.97,128.64820091843606,129.23,128.80859314322473,126.22,129.03055279374124,127.72,129.222772885561,124.77,129.58867200136186,126.16,129.8770257127285,136.62,129.9202808891237,157.21,129.69895082756878,152.64,130.1887745563686,161.37,130.42736533328892,165.9,130.66763748273254,171.86,130.9977666591108,173.17,131.46323119148613,175.89,131.63890092119576
9,129.23,128.1296000790596,126.22,128.3224756282568,127.72,128.54346606254578,124.77,128.737964720726,126.16,129.1205213677883,136.62,129.421263576746,157.21,129.479473182261,152.64,129.26225450009107,161.37,129.80071815222502,165.9,130.05699160069227,171.86,130.2983836171031,173.17,130.64179905623197,175.89,131.11512290805578,170.47,131.30299397677183
10,126.22,129.4209549832344,127.72,129.6442690449953,124.77,129.87313820004462,126.16,130.0736633646488,136.62,130.47701222777366,157.21,130.79719923019408,152.64,130.8740117806196,161.37,130.67152230024337,165.9,131.2552701640129,171.86,131.533798943758,173.17,131.79162017583846,175.89,132.15325258255004,170.47,132.64053056716918,134.97,132.8484910237789
11,127.72,126.42565003156662,124.77,126.66176031649113,126.16,126.90383730947971,136.62,127.10969159126282,157.21,127.52845460295677,152.64,127.86576277136803,161.37,127.95501507937908,165.9,127.77181196331978,171.86,128.37532770752907,173.17,128.67078894495964,175.89,128.95172834515571,170.47,129.3272885096073,134.97,129.82596016049385,132.64,130.0507132869959
12,124.77,127.93559764444828,126.16,128.18090921759605,136.62,128.4385720205307,157.21,128.64984162271023,152.64,129.0835660558939,161.37,129.43926282346249,165.9,129.53954301148653,171.86,129.37706609934568,173.17,129.99498095482588,175.89,130.3074686166644,170.47,130.6139670547843,134.97,131.00303637355566,132.64,131.51364379495382,145.18,131.75515385836363
13,126.16,124.98370737254619,136.62,125.22679473876953,157.21,125.49923877835273,152.64,125.71407534599304,161.37,126.15646054267883,165.9,126.52521835684776,171.86,126.63030653864145,173.17,126.4858501073718,175.89,127.10115404099226,170.47,127.42415703505277,134.97,127.75292868584394,132.64,128.14987359613178,145.18,128.66812441915272,149.95,128.920383554399
14,136.62,126.37299056708812,157.21,126.61643128454685,152.64,126.90225322902202,161.37,127.12057678759098,165.9,127.57159091889858,171.86,127.95360239207744,173.17,128.06352187305689,175.89,127.93447962015867,170.47,128.55060055464506,134.97,128.8841351827979,132.64,129.23209923118353,145.18,129.63675281018018,149.95,130.16258880108595,142.59,130.42498272269964
15,157.21,136.84885440289975,152.64,137.108313511014,161.37,137.40596015274525,165.9,137.63376147568226,171.86,138.09948230803013,173.17,138.49806199491024,175.89,138.61798345565796,170.47,138.49637182325125,134.97,139.13508667320014,132.64,139.4834328171611,145.18,139.8469337400794,149.95,140.26348187297583,142.59,140.8011169013381,144.7,141.07863687247038
16,152.64,157.446107185483,161.37,157.70350826442242,165.9,157.99301368653775,171.86,158.24089195489884,173.17,158.69049888014794,175.89,159.07713895201684,170.47,159.195518835485,134.97,159.0442779353261,132.64,159.66939744263888,145.18,159.98461258322,149.95,160.3300526431203,142.59,160.7392299464345,144.7,161.2738804510236,143.77,161.54988136798144
17,161.37,152.8519056433439,165.9,153.0722313070297,171.86,153.3353552365303,173.17,153.58970655441283,175.89,153.99392290353774,170.47,154.3391214454174,134.97,154.43741506278513,132.64,154.24349936783312,145.18,154.80416712105273,149.95,155.0572960668802,142.59,155.36092647850512,144.7,155.74061819851397,143.77,156.25367888748644,149.14,156.50416967213152
18,165.9,161.5546434623003,171.86,161.74084326148034,173.17,161.9710784804821,175.89,162.21885269403458,170.47,162.58041908860207,134.97,162.8800786983967,132.64,162.95574419468642,145.18,162.72118689388037,149.95,163.22648074001074,142.59,163.4290421780944,144.7,163.68555017083884,143.77,164.0335025665164,149.14,164.52229030698538,158.73,164.74079016119242
19,171.86,166.0741413474083,173.17,166.25138681530953,175.89,166.45615849792958,170.47,166.69167778789998,134.97,167.03349418342114,132.64,167.30397961437703,145.18,167.36771635860205,149.95,167.10846127718688,142.59,167.59995626062155,144.7,167.78399785012007,143.77,168.00794795304537,149.14,168.3375117495656,158.73,168.81182500869036,148.38,169.00853236168624
20,173.17,172.04826325237752,175.89,172.24511039316656,170.47,172.44002609014512,134.97,172.66616235733034,132.64,173.01649738907815,145.18,173.28403480410577,149.95,173.3514884120226,142.59,173.08848074138166,144.7,173.61232701003553,143.77,173.81162746310235,149.14,174.02717229783536,158.73,174.358620942235,148.38,174.8336246019602,131.13,175.02775438189508
21,175.89,173.38563881635665,170.47,173.6142260712385,134.97,173.81466580748557,132.64,174.0367528182268,145.18,174.4125979822874,149.95,174.69884705364703,142.59,174.7810298708081,144.7,174.53413376778363,143.77,175.11096278399228,149.14,175.3440326359868,158.73,175.57355182439088,148.38,175.92237713009118,131.13,176.4093662109971,136.91,176.6172412392497
22,170.47,176.14109887123107,134.97,176.40731914281844,132.64,176.6264752292633,145.18,176.85157005429267,149.95,177.2635719025135,142.59,177.58445785880087,144.7,177.689268014729,143.77,177.47251685649155,149.14,178.11133035212754,158.73,178.38845580011605,148.38,178.6505103328824,131.13,179.0275623717904,136.91,179.5358049789071,137.3,179.7710307011008
23,134.97,170.73157227158546,132.64,171.00763610124588,145.18,171.250752196908,149.95,171.47939536094665,142.59,171.9158472430706,144.7,172.2641910624504,143.77,172.3808794927597,149.14,172.19554691135883,158.73,172.8545468312502,148.38,173.16157414138317,131.13,173.46002535641193,136.91,173.85626123964786,137.3,174.37916003286838,139.51,174.6346677404642
24,132.64,135.09631841003895,145.18,135.21972607940435,149.95,135.44793977707624,142.59,135.65368300050497,144.7,136.01061692208052,143.77,136.29905139774084,149.14,136.35051846250892,158.73,136.1676166628301,148.38,136.60569554314017,131.13,136.82898397490382,136.91,137.10752130791545,137.3,137.4467375998199,139.51,137.9250138823688,137.6,138.1197478596866
25,145.18,132.58349247217177,149.95,132.52196259737013,142.59,132.7006750845909,144.7,132.85739083528517,143.77,133.09459458231925,149.14,133.2851402902603,158.73,133.2419679494202,148.38,133.02959686830638,131.13,133.1970725686848,136.91,133.29997459366916,137.3,133.50323498561977,139.51,133.75083212867378,137.6,134.15404819265007,135.07,134.24345892980693
