,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,121.79,108.79264318704605,114.33,109.21077638626099,107.36,109.57126563549042,112.09,109.72058027744293,103.73,110.48401349544525,110.21,110.79050418496132,123.75,111.19551965355873,128.52,111.79222526907921,127.97,112.36677416920662,129.23,112.8911633169651,126.22,113.41380896925926,127.72,113.89595976233483,124.77,114.43699791789055,126.16,114.68751823663712
1,114.33,122.32406262397767,107.36,122.75318408846856,112.09,123.1489703142643,103.73,123.3172420346737,110.21,124.13085443615914,123.75,124.50363508701325,128.52,124.89076519846917,127.97,125.51123667597771,129.23,126.16724199891091,126.22,126.72932631611825,127.72,127.32223118185998,124.77,127.82616979718209,126.16,128.3881244146824,136.62,128.65694246530535
2,107.36,114.85922821044922,112.09,115.30951310873031,103.73,115.72984720945358,110.21,115.87014228284359,123.75,116.68166792571544,128.52,117.0301453191042,127.97,117.42685803949833,129.23,118.03444710552692,126.22,118.68075409710407,127.72,119.24008533537388,124.77,119.85876909077167,126.16,120.34776649057865,136.62,120.92236200153827,157.21,121.20851090729236
3,112.09,107.83698867321014,103.73,108.28336565256119,110.21,108.72468535661697,123.75,108.82669816225767,128.52,109.60171297997236,127.97,109.86914322584867,129.23,110.27897364705801,126.22,110.83496774047613,127.72,111.4036400398612,124.77,111.92763388961554,126.16,112.53033573240042,136.62,112.97647506803274,157.21,113.53786505073309,152.64,113.81409586280584
4,103.73,112.53969934225083,110.21,112.97166010379792,123.75,113.41786855101586,128.52,113.5157233813405,127.97,114.2742227652669,129.23,114.50373262554407,126.22,114.9117729702592,127.72,115.43896490722895,124.77,115.95844662576914,126.16,116.46234721332789,136.62,117.05269396692515,157.21,117.47878742605448,152.64,118.0350308457017,161.37,118.30500138193369
5,110.21,104.1241188454628,123.75,104.53127543210984,128.52,104.96803409934044,127.97,105.03076979845763,129.23,105.73503378361464,126.22,105.87993339031935,127.72,106.2895580264926,124.77,106.76064834326506,126.16,107.19152573078871,136.62,107.65084570974112,157.21,108.19677883714438,152.64,108.57411355108023,161.37,109.11237764686346,165.9,109.35915080040694
6,123.75,110.5838570511341,128.52,110.95982804059982,127.97,111.38034232616424,129.23,111.44338167369365,126.22,112.12817055642604,127.72,112.24944876044988,124.77,112.64305968493223,126.16,113.08640710920095,136.62,113.47873274892568,157.21,113.91543237775564,152.64,114.43595008462667,161.37,114.79380272239446,165.9,115.32268999427556,171.86,115.5498094549775
7,128.52,124.15884724259377,127.97,124.50165769457817,129.23,124.92203840613365,126.22,125.0110592842102,127.72,125.7090893983841,124.77,125.87162429094315,126.16,126.24017632007599,136.62,126.68236038088799,157.21,127.10526663064957,152.64,127.55460250377655,161.37,128.0883995294571,165.9,128.45019736886024,171.86,128.99206647276878,173.17,129.21489436924458
8,127.97,128.97233669877053,129.23,129.31787695407868,126.22,129.72653238892556,127.72,129.84317266613246,124.77,130.56858610779048,126.16,130.78227328926326,136.62,131.13938116699458,157.21,131.60753976970912,152.64,132.06880050569774,161.37,132.5405540433526,165.9,133.10010039478541,171.86,133.48462497860194,173.17,134.05931520134212,175.89,134.31105246812106
9,129.23,128.43016570925712,126.22,128.77810257792473,127.72,129.16845950603485,124.77,129.28138602644205,126.16,130.00721568733454,136.62,130.22288013368845,157.21,130.57225219279528,152.64,131.04436142116785,161.37,131.5095689085126,165.9,131.983930298388,171.86,132.54695738226175,173.17,132.93396089345217,175.89,133.51397792369127,170.47,133.77331511050463
10,126.22,129.68402815937995,127.72,130.03430883169173,124.77,130.40795386910438,126.16,130.51415571153163,136.62,131.2335278648138,157.21,131.4374017971754,152.64,131.78394853651523,161.37,132.25589000761508,165.9,132.71493118584155,171.86,133.18839403569697,173.17,133.74568274199962,175.89,134.1335529643297,170.47,134.70522450983523,134.97,134.96281042277812
11,127.72,126.65231254816055,124.77,127.00398802876472,126.16,127.36741519093513,136.62,127.4578036826849,157.21,128.15648068606853,152.64,128.32487434267998,161.37,128.67793452858925,165.9,129.13639092564583,171.86,129.56533920884132,173.17,130.0271575462818,175.89,130.5634723317623,170.47,130.94051814198494,134.97,131.4971653831005,132.64,131.74769035100937
12,124.77,128.1351370227337,126.16,128.48657021045685,136.62,128.84017479538917,157.21,128.9269574818015,152.64,129.61157708734274,161.37,129.75823649138212,165.9,130.11876221865415,171.86,130.57250612348318,173.17,130.9817207095027,175.89,131.43829303354025,170.47,131.95565229028463,134.97,132.33140271276235,132.64,132.87268161147833,145.18,133.11577751606703
13,126.16,125.1650166106224,136.62,125.5172473680973,157.21,125.86595075249672,152.64,125.9456460815668,161.37,126.60989979326725,165.9,126.7264344510436,171.86,127.10040487021207,173.17,127.54371346205473,175.89,127.92173857659101,170.47,128.36819864481686,134.97,128.8597751674056,132.64,129.22871471613644,145.18,129.75779147118328,149.95,129.99603199630974
14,136.62,126.53921100854873,157.21,126.88732338309288,152.64,127.22616225838661,161.37,127.30480605721473,165.9,127.95426303505897,171.86,128.05401668310165,173.17,128.43522203326225,175.89,128.87511974930763,170.47,129.23673972845077,134.97,129.677388433218,132.64,130.14675000667572,145.18,130.51522824525833,149.95,131.02942666769027,142.59,131.25682415425777
15,157.21,137.02133276581765,152.64,137.36303656816483,161.37,137.7050540995598,165.9,137.8012555268407,171.86,138.4681854274869,173.17,138.60655528575182,175.89,138.97848323255778,170.47,139.43279719620944,134.97,139.8318987813592,132.64,140.28612342745066,145.18,140.76549941569567,149.95,141.1499727395177,142.59,141.66411835223437,144.7,141.88596384495497
16,152.64,157.69961946368218,161.37,158.02679597496987,165.9,158.42248355507851,171.86,158.56616232454778,173.17,159.28011063396931,175.89,159.51194257199765,170.47,159.8565291529894,134.97,160.33318076193333,132.64,160.83690813839436,145.18,161.34637937605382,149.95,161.88889930307866,142.59,162.30346474707127,144.7,162.8506194716692,143.77,163.08701632082463
