,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,121.79,108.88800483703614,114.33,109.51079374313355,107.36,110.37692606210709,112.09,111.10280233383179,103.73,111.68238681316376,110.21,111.89719542622566,123.75,112.65875157475472,128.52,113.0292699611187,127.97,113.66296246409416,129.23,113.9588461792469,126.22,114.56950130820275,127.72,115.17888357996941,124.77,115.66057929158211,126.16,116.28586420178414
1,114.33,122.73960248470307,107.36,123.37839112520219,112.09,124.32482812643052,103.73,125.11683748006821,110.21,125.78897611141205,123.75,125.98234247505665,128.52,126.61900787889958,127.97,127.50855111420155,129.23,128.1382704907656,126.22,128.51841499745848,127.72,129.2984645599127,124.77,129.9860741132498,126.16,130.53154822528364,136.62,131.14149817168715
2,107.36,115.35492606639862,112.09,116.0160454082489,103.73,116.73832674503326,110.21,117.56599350452423,123.75,118.01314787745476,128.52,118.44181190609932,127.97,118.80852647304535,129.23,119.70651616334915,126.22,120.59692765951156,127.72,121.4943038392067,124.77,122.41673578500748,126.16,123.32397104978561,136.62,123.92525245428085,157.21,124.58262695550918
3,112.09,107.9745715713501,103.73,108.70173548221588,110.21,109.49480651378632,123.75,110.24484936952591,128.52,110.8520260310173,127.97,111.71825151205063,129.23,112.50113414287567,126.22,113.00203858375549,127.72,113.82434825658798,124.77,114.44582776784897,126.16,114.9932877278328,136.62,115.8895844078064,157.21,116.46737490653992,152.64,116.88787443995476
4,103.73,113.05495378017426,110.21,113.75687935590744,123.75,114.51951571941376,128.52,115.26733436822892,127.97,116.27878227472306,129.23,117.07331254720688,126.22,117.97120901584626,127.72,118.98505743980408,124.77,119.59508040189743,126.16,120.18036362171173,136.62,120.97764154911042,157.21,121.84375753641129,152.64,122.48343696832657,161.37,123.02461334705353
5,110.21,104.2345063495636,123.75,104.5756571996212,128.52,104.88363976359368,127.97,105.40967996001244,129.23,105.58500565171242,126.22,106.10111768126488,127.72,106.41297708034516,124.77,106.61566666841507,126.16,107.20967433929444,136.62,108.19713119745255,157.21,109.13693366527558,152.64,110.27809665679932,161.37,110.67039589166642,165.9,111.07129297733307
6,123.75,110.06852110385894,128.52,110.80464401006698,127.97,110.9836694663763,129.23,111.34267458975314,126.22,112.29539362251758,127.72,113.64276400864124,124.77,114.42638830006122,126.16,114.63067849636077,136.62,115.00473513364791,157.21,115.5769239282608,152.64,115.8805038845539,161.37,116.759339979887,165.9,117.23086129784583,171.86,117.15305986166
7,128.52,124.57795643806458,127.97,124.9873620569706,129.23,125.53289678692818,126.22,126.3362384736538,127.72,127.30171957612038,124.77,128.2765230834484,126.16,128.65467557311058,136.62,129.42273274064064,157.21,129.8990651667118,152.64,130.31692653894424,161.37,131.0104522705078,165.9,131.40045818686485,171.86,131.7089564204216,173.17,132.12826150655746
8,127.97,129.00219352960588,129.23,129.55116708993913,126.22,129.7992076766491,127.72,130.39277892231942,124.77,130.90634285330773,126.16,131.84643261551858,136.62,131.90979426026345,157.21,132.69790272831918,152.64,133.13217933893205,161.37,133.7976018381119,165.9,134.13311370134355,171.86,134.60439427614213,173.17,135.02798547267915,175.89,135.03090268301779
9,129.23,128.77118817090988,126.22,129.34122493982315,127.72,129.7832987320423,124.77,130.4315868628025,126.16,131.01164424538612,136.62,131.56612241387367,157.21,131.8143408459425,152.64,132.64491756379604,161.37,133.37469478070736,165.9,133.88304610669613,171.86,134.38276074945927,173.17,134.74223651111126,175.89,135.1013410550356,170.47,135.65464656174183
