,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,0.5891,0.5829120890528895,0.5666,0.5838594193745404,0.527,0.5829584209539928,0.4383,0.5822760893323459,0.2562,0.5823276875824842,0.3292,0.5820657127995684,0.3116,0.5813669935094833,0.2924,0.5807893180980056,0.2865,0.5804332898922905,0.2494,0.5797678471070423,0.2164,0.5798924427152553,0.2144,0.5793378103197494,0.2237,0.5801672441092262,0.2386,0.5784297872240597
1,0.5666,0.5886235960232094,0.527,0.5898216124795377,0.4383,0.5892156366779469,0.2562,0.5887607459615916,0.3292,0.5891215389882214,0.3116,0.5891542263260285,0.2924,0.5887361551857262,0.2865,0.5883659283852845,0.2494,0.5882379476814472,0.2164,0.5878530035978125,0.2144,0.5882593199920316,0.2237,0.5879619674950314,0.2386,0.5891261886998487,0.2211,0.5876458973351342
2,0.527,0.5663611912986031,0.4383,0.5677474552884465,0.2562,0.5673136294589145,0.3292,0.5670704600869445,0.3116,0.567655678454577,0.2924,0.5679042983628111,0.2865,0.5676880667105084,0.2494,0.567513208728889,0.2164,0.5676047651885543,0.2144,0.5674805033721728,0.2237,0.5681110868698684,0.2386,0.5680319351830636,0.2211,0.569405512813211,0.2253,0.568109407251433
3,0.4383,0.5268163503332762,0.2562,0.528254968738067,0.3292,0.5277999549416127,0.3116,0.5276548040691996,0.2924,0.528270723019843,0.2865,0.5285491643134738,0.2494,0.5283658926909557,0.2164,0.5282784328646376,0.2144,0.5284880176968291,0.2237,0.5284750410200577,0.2386,0.52914898509239,0.2211,0.529162005428545,0.2253,0.5304996777794732,0.2356,0.5292227908739296
4,0.2562,0.4377681644602679,0.3292,0.4389919493316673,0.3116,0.43816103823175656,0.2924,0.43782218018006536,0.2865,0.4380499286255334,0.2494,0.4379466701413738,0.2164,0.43744996618463194,0.2144,0.4371610624714056,0.2237,0.43721873577507797,0.2386,0.43694599996726613,0.2211,0.43723660020097743,0.2253,0.43704077405911523,0.2356,0.4378533542278281,0.2271,0.43623133209823284
5,0.3292,0.25450381129868327,0.3116,0.25500520976148544,0.2924,0.253118048011139,0.2865,0.2519775113871321,0.2494,0.2509703710058704,0.2164,0.24964562215264885,0.2144,0.2481460155069828,0.2237,0.24705060658399014,0.2386,0.24640087457029147,0.2211,0.24511298932721837,0.2253,0.2441484270350076,0.2356,0.24312408128408713,0.2271,0.242459825353045,0.2511,0.23974644729988648
6,0.3116,0.3260618166167289,0.2924,0.3256085611572955,0.2865,0.3225701193949673,0.2494,0.32031717953928746,0.2164,0.3178782866960857,0.2144,0.3151136707673315,0.2237,0.3123701460352633,0.2386,0.3102063714685384,0.2211,0.3085242318846751,0.2253,0.30586182814282364,0.2356,0.30342670692321844,0.2271,0.30126651073065586,0.2511,0.2990758423619438,0.3332,0.2950934199542273
7,0.2924,0.3071753027461469,0.2865,0.30578925831560044,0.2494,0.3017792473392561,0.2164,0.29848909073825924,0.2144,0.29485640137773006,0.2237,0.2908814430547878,0.2386,0.28704273815583436,0.2211,0.2839230876261368,0.2253,0.2811761516923085,0.2356,0.2772833339249715,0.2271,0.2736495456038043,0.2511,0.27035497569795697,0.3332,0.26702139711324124,0.3136,0.261979075598903
8,0.2865,0.28708147894367575,0.2494,0.28496657739169895,0.2164,0.28029177485741674,0.2144,0.2762598023634404,0.2237,0.27185861401967704,0.2386,0.26710691916532814,0.2211,0.2625259408611804,0.2253,0.2587541670888662,0.2356,0.2551421733457595,0.2271,0.250424317631498,0.2511,0.2460688548978418,0.3332,0.24187609142400324,0.3136,0.23790874666310846,0.3295,0.2321888237144798
9,0.2494,0.2807783275619149,0.2164,0.27824043163657186,0.2144,0.27328073426708577,0.2237,0.2688838276788592,0.2386,0.2642010595425963,0.2211,0.25916667708754537,0.2253,0.2542810319699347,0.2356,0.2502223589234054,0.2271,0.24607402838394044,0.2511,0.24100775837525723,0.3332,0.23643661809712646,0.3136,0.23171714467555282,0.3295,0.2276245798692107,0.3141,0.22166286788508294
