,t+1 actual,t+1 predicted,t+2 actual,t+2 predicted,t+3 actual,t+3 predicted,t+4 actual,t+4 predicted,t+5 actual,t+5 predicted,t+6 actual,t+6 predicted,t+7 actual,t+7 predicted,t+8 actual,t+8 predicted,t+9 actual,t+9 predicted,t+10 actual,t+10 predicted,t+11 actual,t+11 predicted,t+12 actual,t+12 predicted,t+13 actual,t+13 predicted,t+14 actual,t+14 predicted
0,0.5891,0.5839189567603636,0.5666,0.5819514477160294,0.527,0.5765883354004938,0.4383,0.5724109657574911,0.2562,0.5737689292990137,0.3292,0.5706044586375821,0.3116,0.5650522985496093,0.2924,0.561630882043438,0.2865,0.5603182130260859,0.2494,0.5572573964717332,0.2164,0.553349624224985,0.2144,0.5498074277537409,0.2237,0.5467722565634642,0.2386,0.5465439451334998
1,0.5666,0.5891785887241363,0.527,0.5889677375842817,0.4383,0.5870509654804132,0.2562,0.583909528987389,0.3292,0.5814474876559339,0.3116,0.5770274940467439,0.2924,0.5712948143071495,0.2865,0.5690142949632369,0.2494,0.5666590989156626,0.2164,0.5631441918256692,0.2144,0.5602154351825825,0.2237,0.5572971934041939,0.2386,0.5542012627291493,0.2211,0.5526347073781304
2,0.527,0.5674445818675682,0.4383,0.5674950723640737,0.2562,0.5654959221009281,0.3292,0.5635047195118037,0.3116,0.5606000871501979,0.2924,0.5577746239595232,0.2865,0.5527715660736081,0.2494,0.5511541156901163,0.2164,0.5496208016865072,0.2144,0.5466716569952783,0.2237,0.5430062712274608,0.2386,0.54137414750756,0.2211,0.5398506275249761,0.2253,0.5383333407679689
3,0.4383,0.5284990612398833,0.2562,0.5295508895050735,0.3292,0.527959673547186,0.3116,0.5284926341245882,0.2924,0.5254692260040902,0.2865,0.5252046752411407,0.2494,0.5215066724612843,0.2164,0.521022268045228,0.2144,0.5220253376155161,0.2237,0.5201751625263132,0.2386,0.5183062435225584,0.2211,0.5195813542795368,0.2253,0.517567293309141,0.2356,0.515351225911174
4,0.2562,0.4401396687228233,0.3292,0.44713591151796284,0.3116,0.4490760692480952,0.2924,0.4471521407451481,0.2865,0.44297441068030896,0.2494,0.4402718727562577,0.2164,0.43734985050670805,0.2144,0.4408678956881166,0.2237,0.44595025475993755,0.2386,0.44613503823913636,0.2211,0.4430246892936528,0.2253,0.4466409112412483,0.2356,0.4481655475303531,0.2271,0.4470180917616934
5,0.3292,0.25693683977825565,0.3116,0.274861908514332,0.2924,0.27985950652165337,0.2865,0.2737019509042613,0.2494,0.2669033408130519,0.2164,0.26090625999150796,0.2144,0.2562855347025208,0.2237,0.26366869499562307,0.2386,0.2786829895305447,0.2211,0.27395112020550294,0.2253,0.27142768655559046,0.2356,0.28289607097050173,0.2271,0.288017385868635,0.2511,0.28775551658710463
6,0.3116,0.33874328197985887,0.2924,0.3427546373203397,0.2865,0.33569283034726977,0.2494,0.33201684193760156,0.2164,0.33537898418568074,0.2144,0.3328867258604616,0.2237,0.333294097239431,0.2386,0.344088264646288,0.2211,0.35209596426999196,0.2253,0.34129274999564513,0.2356,0.3452654046921991,0.2271,0.3533739842458628,0.2511,0.35999233824973925,0.3332,0.3631201294700615
7,0.2924,0.3154183780852705,0.2865,0.3060794897455722,0.2494,0.30228734562024473,0.2164,0.30191831449246964,0.2144,0.3007078575456049,0.2237,0.3069800389484968,0.2386,0.31281951158507726,0.2211,0.31403362560286185,0.2253,0.3075418541693594,0.2356,0.30875333941276184,0.2271,0.30766602764106354,0.2511,0.3050352211130317,0.3332,0.31132812909982166,0.3136,0.30640157656944356
8,0.2865,0.2906026277575642,0.2494,0.2862857869710773,0.2164,0.27559129995070397,0.2144,0.2736113419175148,0.2237,0.2767882874120027,0.2386,0.28257977458424866,0.2211,0.28063289095889776,0.2253,0.27223533691149204,0.2356,0.2764073868399486,0.2271,0.2807408168097958,0.2511,0.27789131711479276,0.3332,0.2767006854644045,0.3136,0.26748320154156535,0.3295,0.26314232425075024
9,0.2494,0.28450898204557595,0.2164,0.28615757236350325,0.2144,0.27916821809578685,0.2237,0.2720762292863801,0.2386,0.2682884633084759,0.2211,0.25959945651795713,0.2253,0.24983960478659717,0.2356,0.24694177713338283,0.2271,0.24585115963220594,0.2511,0.2461059512987267,0.3332,0.23956313547189345,0.3136,0.23649292932334354,0.3295,0.23125639073061754,0.3141,0.2290682895525824
10,0.2164,0.24743985841572286,0.2144,0.24865895733758808,0.2237,0.24664732292816044,0.2386,0.24322668896578253,0.2211,0.24009245299324394,0.2253,0.23640611665844918,0.2356,0.23087426545619966,0.2271,0.23007184822866694,0.2511,0.22918231415618212,0.3332,0.22409948057550938,0.3136,0.22025215977858753,0.3295,0.22133570842500777,0.3141,0.21804398696925492,0.2852,0.21595404509510846
11,0.2144,0.21909154785200954,0.2237,0.21753041698932649,0.2386,0.21496477440334857,0.2211,0.21422607931410895,0.2253,0.21288759787669406,0.2356,0.2111439428069629,0.2271,0.20738715867148713,0.2511,0.20781143646556885,0.3332,0.2063045063648373,0.3136,0.20325327265411616,0.3295,0.2002897183071822,0.3141,0.19959871810963378,0.2852,0.19946684268754908,0.2896,0.1960787116501946
12,0.2237,0.21518508857404814,0.2386,0.21403401950662956,0.2211,0.21256717061912642,0.2253,0.21205792093239725,0.2356,0.20992197218872607,0.2271,0.20927777013564483,0.2511,0.20726857974948362,0.3332,0.20623767539216206,0.3136,0.20447338628871367,0.3295,0.20496807666784153,0.3141,0.20518871264646296,0.2852,0.20555997659100686,0.2896,0.20356242657287513,0.3057,0.19895350859148894
13,0.2386,0.22548628566209228,0.2211,0.22345857126992197,0.2253,0.2184944957530126,0.2356,0.21767237633820624,0.2271,0.21927898635976018,0.2511,0.21982496746703983,0.3332,0.21721830291561783,0.3136,0.21691281810989604,0.3295,0.21616097943978385,0.3141,0.21739746824959294,0.2852,0.2145162130159326,0.2896,0.21499776863264852,0.3057,0.21321215969282203,0.2945,0.2119227270572912
14,0.2211,0.24045704114846886,0.2253,0.23871882814578713,0.2356,0.2351121797285974,0.2271,0.23413764768643305,0.2511,0.23575819250559435,0.3332,0.23473722279900686,0.3136,0.23125089730033652,0.3295,0.2307124855754897,0.3141,0.22875767185483128,0.2852,0.22969378398861737,0.2896,0.2276456817811355,0.3057,0.22732909304918722,0.2945,0.22569604615578429,0.2764,0.22434632889358327
15,0.2253,0.22217248872518539,0.2356,0.22237794145373627,0.2271,0.21974801409421488,0.2511,0.2182107086748816,0.3332,0.2178886603262741,0.3136,0.2159946147051174,0.3295,0.21112106700208969,0.3141,0.20973045082543976,0.2852,0.2091912302469369,0.2896,0.20814684825497679,0.3057,0.2050629798370879,0.2945,0.20445957995732314,0.2764,0.20299434004598296,0.2799,0.20233920112266204
