Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-02,0.72105,0.72115,0.7166,0.71975
2017-01-03,0.71966,0.72411,0.71926,0.72212
2017-01-04,0.72207,0.72867,0.72185,0.72753
2017-01-05,0.72757,0.73564,0.72734,0.73387
2017-01-06,0.73385,0.7355,0.72886,0.73026
2017-01-09,0.72956,0.7374,0.72947,0.73596
2017-01-10,0.73596,0.73848,0.73317,0.73631
2017-01-11,0.73627,0.74717,0.73526,0.74391
2017-01-12,0.74384,0.75183,0.74301,0.74859
2017-01-13,0.74827,0.75085,0.74495,0.75007
2017-01-16,0.74857,0.75057,0.74584,0.74726
2017-01-17,0.74725,0.75685,0.74654,0.75583
2017-01-18,0.75587,0.7566,0.7503,0.75127
2017-01-19,0.75129,0.75731,0.74937,0.75554
2017-01-20,0.75549,0.75879,0.75181,0.75517
2017-01-23,0.75585,0.76015,0.75504,0.76002
2017-01-24,0.75995,0.76085,0.75539,0.7583
2017-01-25,0.75827,0.75985,0.75154,0.75728
2017-01-26,0.75729,0.75851,0.75225,0.7528
2017-01-27,0.75289,0.75724,0.75119,0.75482
2017-01-30,0.75582,0.75669,0.7528,0.7558
2017-01-31,0.75585,0.76052,0.75424,0.75799
2017-02-01,0.758,0.75969,0.75516,0.75803
2017-02-02,0.75803,0.76956,0.7578,0.76565
2017-02-03,0.76576,0.76954,0.76214,0.76829
2017-02-06,0.76777,0.76805,0.76297,0.76556
2017-02-07,0.76575,0.76808,0.76083,0.76243
2017-02-08,0.76244,0.76654,0.76122,0.76395
2017-02-09,0.76405,0.7664,0.76106,0.76226
2017-02-10,0.76226,0.76888,0.76188,0.76751
2017-02-13,0.76645,0.76777,0.76314,0.76398
2017-02-14,0.76398,0.76958,0.76182,0.76731
2017-02-15,0.76731,0.77195,0.76372,0.77111
2017-02-16,0.77112,0.77318,0.76853,0.76934
2017-02-17,0.76931,0.77128,0.7656,0.76682
2017-02-20,0.76728,0.76899,0.76595,0.76858
2017-02-21,0.76858,0.76906,0.76498,0.76717
2017-02-22,0.76714,0.77148,0.76672,0.76993
2017-02-23,0.76996,0.77408,0.76653,0.77165
2017-02-24,0.77162,0.77204,0.76648,0.76754
2017-02-27,0.76743,0.7707,0.76633,0.76743
2017-02-28,0.76745,0.76947,0.76467,0.76512
2017-03-01,0.7652,0.76998,0.76369,0.76821
2017-03-02,0.76821,0.76821,0.75579,0.75734
2017-03-03,0.75727,0.7595,0.75434,0.75946
2017-03-06,0.7586,0.76096,0.75708,0.75786
2017-03-07,0.75782,0.76314,0.75782,0.75876
2017-03-08,0.75876,0.76089,0.75188,0.75235
2017-03-09,0.75234,0.75342,0.74917,0.74999
2017-03-10,0.75003,0.75568,0.74984,0.7546
2017-03-13,0.75379,0.75923,0.75345,0.75657
2017-03-14,0.75657,0.75789,0.75404,0.75587
2017-03-15,0.75587,0.77189,0.75552,0.77021
2017-03-16,0.77014,0.77162,0.76639,0.76733
2017-03-17,0.76731,0.77177,0.76636,0.77056
2017-03-20,0.77007,0.77472,0.76974,0.77283
2017-03-21,0.77284,0.77497,0.76803,0.76807
2017-03-22,0.76808,0.76844,0.76401,0.76707
2017-03-23,0.76713,0.76721,0.76226,0.76293
2017-03-24,0.76293,0.76407,0.76042,0.76239
2017-03-27,0.76335,0.76483,0.76082,0.76138
2017-03-28,0.76142,0.76546,0.75876,0.76349
