Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-02,0.74407,0.74654,0.74327,0.74362
2017-01-03,0.74368,0.74624,0.74297,0.74483
2017-01-04,0.74483,0.75284,0.74308,0.75172
2017-01-05,0.75168,0.75798,0.75116,0.75578
2017-01-06,0.7558,0.75885,0.75367,0.75574
2017-01-09,0.75477,0.75768,0.75319,0.75651
2017-01-10,0.75651,0.75802,0.7543,0.75554
2017-01-11,0.75554,0.76202,0.7522,0.75862
2017-01-12,0.75862,0.76741,0.75862,0.76051
2017-01-13,0.76056,0.76258,0.75941,0.76172
2017-01-16,0.76156,0.76226,0.75828,0.75833
2017-01-17,0.75833,0.76811,0.75816,0.76651
2017-01-18,0.76659,0.7669,0.75345,0.75374
2017-01-19,0.75374,0.75453,0.7489,0.75055
2017-01-20,0.75055,0.75275,0.74697,0.75038
2017-01-23,0.75037,0.75637,0.7499,0.75634
2017-01-24,0.75632,0.76297,0.75193,0.75999
2017-01-25,0.75999,0.7656,0.75971,0.76513
2017-01-26,0.76509,0.76606,0.7616,0.76376
2017-01-27,0.76375,0.76409,0.76075,0.76114
2017-01-30,0.76149,0.76467,0.75937,0.76251
2017-01-31,0.76246,0.77108,0.76198,0.76674
2017-02-01,0.76674,0.76726,0.7632,0.76665
2017-02-02,0.76672,0.77038,0.76616,0.76769
2017-02-03,0.76762,0.76966,0.76471,0.76751
2017-02-06,0.76777,0.76858,0.76142,0.76464
2017-02-07,0.76462,0.76483,0.75688,0.75854
2017-02-08,0.75847,0.76133,0.75756,0.7609
2017-02-09,0.76088,0.76366,0.75942,0.7612
2017-02-10,0.76115,0.76544,0.75998,0.76413
2017-02-13,0.76379,0.76601,0.76214,0.76502
2017-02-14,0.765,0.76772,0.76302,0.76482
2017-02-15,0.76482,0.76543,0.76222,0.76458
2017-02-16,0.76469,0.76861,0.76453,0.76508
2017-02-17,0.76506,0.76568,0.76183,0.76344
2017-02-20,0.76377,0.7648,0.76222,0.76289
2017-02-21,0.76289,0.76334,0.75967,0.76055
2017-02-22,0.76062,0.76269,0.75703,0.75984
2017-02-23,0.7598,0.76437,0.75927,0.76321
2017-02-24,0.76322,0.76583,0.76232,0.76285
2017-02-27,0.76324,0.76431,0.75823,0.75829
2017-02-28,0.75836,0.75957,0.75109,0.75131
2017-03-01,0.75131,0.75271,0.74865,0.75024
2017-03-02,0.75019,0.75028,0.74616,0.74658
2017-03-03,0.74658,0.74769,0.74421,0.74767
2017-03-06,0.74743,0.74781,0.7449,0.74581
2017-03-07,0.74587,0.74718,0.74431,0.74558
2017-03-08,0.74556,0.74637,0.74073,0.74106
2017-03-09,0.74106,0.74166,0.73887,0.74018
2017-03-10,0.74018,0.74506,0.7399,0.7429
2017-03-13,0.74285,0.74455,0.74207,0.74347
