Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-02,1.2343,1.23471,1.22752,1.22768
2017-01-03,1.22765,1.23071,1.22019,1.22401
2017-01-04,1.22391,1.23516,1.22213,1.23215
2017-01-05,1.23214,1.24316,1.22706,1.24133
2017-01-06,1.24133,1.24307,1.22613,1.22835
2017-01-09,1.22547,1.22713,1.21261,1.21741
2017-01-10,1.21738,1.21898,1.21076,1.21744
2017-01-11,1.2173,1.22682,1.20426,1.22047
2017-01-12,1.22047,1.23167,1.21527,1.21583
2017-01-13,1.21612,1.22333,1.21224,1.21876
2017-01-16,1.20462,1.20849,1.19884,1.20206
2017-01-17,1.20206,1.24157,1.20206,1.24028
2017-01-18,1.24055,1.24108,1.22525,1.22638
2017-01-19,1.22636,1.23432,1.22537,1.23341
2017-01-20,1.23339,1.23805,1.22623,1.23606
2017-01-23,1.23794,1.25458,1.23763,1.25371
2017-01-24,1.25375,1.25439,1.24195,1.2528
2017-01-25,1.25282,1.26388,1.24913,1.26336
2017-01-26,1.26334,1.26731,1.25567,1.25918
2017-01-27,1.25907,1.26059,1.25181,1.25539
2017-01-30,1.25663,1.26012,1.24667,1.24935
2017-01-31,1.24935,1.25965,1.2413,1.25804
2017-02-01,1.25806,1.268,1.25448,1.2658
2017-02-02,1.26564,1.2706,1.25183,1.25294
2017-02-03,1.2532,1.25379,1.24607,1.24819
2017-02-06,1.24793,1.24983,1.24278,1.2468
2017-02-07,1.24685,1.25455,1.23477,1.25083
2017-02-08,1.25084,1.25496,1.2478,1.25385
2017-02-09,1.25391,1.25821,1.24914,1.24978
2017-02-10,1.24985,1.25215,1.24401,1.24864
2017-02-13,1.24906,1.25393,1.24811,1.25268
2017-02-14,1.25266,1.2548,1.24464,1.24739
2017-02-15,1.24739,1.24807,1.2384,1.24618
2017-02-16,1.24618,1.25229,1.24545,1.24855
2017-02-17,1.24855,1.25112,1.23891,1.24154
2017-02-20,1.24198,1.24828,1.24096,1.2467
2017-02-21,1.24666,1.2481,1.24019,1.24768
2017-02-22,1.24768,1.25075,1.24233,1.24588
