Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-02,0.85556,0.85556,0.8499,0.8524
2017-01-03,0.85241,0.85304,0.84313,0.84964
2017-01-04,0.84963,0.85426,0.84615,0.85271
2017-01-05,0.85269,0.86782,0.85156,0.86621
2017-01-06,0.86621,0.869,0.85341,0.85473
2017-01-09,0.85369,0.86448,0.85083,0.86271
2017-01-10,0.86266,0.86804,0.85953,0.86331
2017-01-11,0.8633,0.87523,0.85581,0.86648
2017-01-12,0.8665,0.87896,0.86643,0.87192
2017-01-13,0.87167,0.87579,0.86622,0.87297
2017-01-16,0.87397,0.87958,0.87364,0.87655
2017-01-17,0.87655,0.88828,0.87504,0.88672
2017-01-18,0.88658,0.88774,0.87142,0.87295
2017-01-19,0.87294,0.87399,0.86492,0.86913
2017-01-20,0.86915,0.87547,0.86673,0.87338
2017-01-23,0.87417,0.88857,0.87416,0.88842
2017-01-24,0.88843,0.88867,0.87802,0.87824
2017-01-25,0.87824,0.88454,0.87727,0.88236
2017-01-26,0.88236,0.88453,0.87068,0.87299
2017-01-27,0.87305,0.87413,0.86674,0.86858
2017-01-30,0.87037,0.88138,0.86991,0.87921
2017-01-31,0.87921,0.89216,0.87749,0.88752
2017-02-01,0.88752,0.88765,0.87755,0.88271
2017-02-02,0.88269,0.89238,0.88212,0.88602
2017-02-03,0.88601,0.89027,0.88141,0.88736
2017-02-06,0.88841,0.89583,0.88674,0.89432
2017-02-07,0.89443,0.89603,0.8888,0.89035
2017-02-08,0.89035,0.89571,0.88853,0.89409
2017-02-09,0.89408,0.89411,0.88223,0.8825
2017-02-10,0.88268,0.88605,0.87829,0.88217
2017-02-13,0.87993,0.88141,0.87589,0.87901
2017-02-14,0.879,0.88296,0.87336,0.87473
2017-02-15,0.87473,0.87809,0.86989,0.87481
2017-02-16,0.87485,0.88421,0.87485,0.88279
2017-02-17,0.88269,0.88793,0.88105,0.88581
2017-02-20,0.88539,0.88652,0.8831,0.88382
2017-02-21,0.88382,0.88382,0.87892,0.87946
2017-02-22,0.87945,0.88565,0.87928,0.88251
2017-02-23,0.88252,0.88845,0.8814,0.88699
2017-02-24,0.88708,0.89335,0.88531,0.89221
2017-02-27,0.89103,0.89346,0.88623,0.88698
2017-02-28,0.88697,0.8953,0.88585,0.88616
2017-03-01,0.88616,0.88669,0.87685,0.87896
2017-03-02,0.87894,0.87908,0.8727,0.87421
2017-03-03,0.87422,0.87795,0.87147,0.87794
2017-03-06,0.87646,0.88059,0.8764,0.87759
2017-03-07,0.87762,0.87924,0.87603,0.87725
2017-03-08,0.87724,0.88019,0.87147,0.87377
2017-03-09,0.87376,0.87438,0.86886,0.86887
2017-03-10,0.86886,0.87217,0.86576,0.87162
2017-03-13,0.8705,0.87347,0.86992,0.87
2017-03-14,0.87,0.87319,0.86811,0.87187
2017-03-15,0.87186,0.88355,0.87044,0.88144
2017-03-16,0.88148,0.88565,0.88076,0.88223
2017-03-17,0.88225,0.88836,0.88111,0.88744
2017-03-20,0.88704,0.88916,0.88576,0.88862
2017-03-21,0.88862,0.89738,0.88606,0.89691
2017-03-22,0.89684,0.90303,0.8947,0.89847
2017-03-23,0.89851,0.90391,0.89623,0.90067
2017-03-24,0.90063,0.9039,0.89701,0.89809
2017-03-27,0.90138,0.90813,0.90096,0.90384
2017-03-28,0.90384,0.90756,0.8993,0.90035
2017-03-29,0.90027,0.90315,0.89836,0.90081
2017-03-30,0.90078,0.90134,0.89331,0.89413
2017-03-31,0.89407,0.89891,0.89132,0.89832
2017-04-03,0.89756,0.90211,0.89623,0.90211
2017-04-04,0.9021,0.90685,0.90173,0.90331
2017-04-05,0.90332,0.90531,0.89726,0.90491
2017-04-06,0.90487,0.90667,0.89985,0.90213
2017-04-07,0.90214,0.90795,0.89794,0.89914
2017-04-10,0.90021,0.90246,0.89624,0.90203
2017-04-11,0.90199,0.91291,0.90183,0.91242
2017-04-12,0.91233,0.91812,0.91024,0.91752
2017-04-13,0.91752,0.91965,0.91416,0.91625
2017-04-14,0.91626,0.92121,0.91548,0.92081
2017-04-17,0.91968,0.92475,0.91672,0.91729
2017-04-18,0.91729,0.92317,0.91557,0.92214
2017-04-19,0.92218,0.92264,0.91594,0.91866
2017-04-20,0.91868,0.91977,0.91341,0.91501
2017-04-21,0.91501,0.91839,0.91388,0.91654
2017-04-24,0.90686,0.91188,0.90625,0.91083
2017-04-25,0.91085,0.91239,0.89939,0.90025
2017-04-26,0.90025,0.9019,0.89464,0.90006
2017-04-27,0.89999,0.90046,0.89608,0.89877
2017-04-28,0.89876,0.9003,0.89513,0.89704
2017-05-01,0.89752,0.89921,0.89347,0.89405
2017-05-02,0.89422,0.89459,0.89044,0.89272
2017-05-03,0.8927,0.89313,0.88669,0.88756
2017-05-04,0.88757,0.89029,0.88462,0.88858
2017-05-05,0.88858,0.89211,0.88679,0.88901
2017-05-08,0.88592,0.88969,0.88264,0.88283
2017-05-09,0.88281,0.88387,0.87469,0.87728
2017-05-10,0.87737,0.88,0.87446,0.87499
2017-05-11,0.87499,0.88136,0.87437,0.87855
2017-05-12,0.87854,0.88336,0.87755,0.88283
2017-05-15,0.8831,0.88336,0.87836,0.8802
2017-05-16,0.88025,0.88548,0.87894,0.88411
2017-05-17,0.88414,0.90461,0.88413,0.90315
2017-05-18,0.9032,0.90711,0.89509,0.89628
2017-05-19,0.89621,0.90047,0.89526,0.89888
2017-05-22,0.89944,0.90122,0.89599,0.89852
2017-05-23,0.89853,0.90199,0.894,0.89432
2017-05-24,0.89433,0.897,0.89189,0.89633
2017-05-25,0.89633,0.89673,0.89324,0.8942
2017-05-26,0.89418,0.90188,0.89406,0.8988
2017-05-29,0.8986,0.89947,0.89711,0.89867
2017-05-30,0.89867,0.9036,0.89846,0.9021
2017-05-31,0.90209,0.90499,0.89917,0.90215
2017-06-01,0.90222,0.90321,0.89701,0.89791
2017-06-02,0.89792,0.90633,0.89518,0.90562
2017-06-05,0.90532,0.90645,0.90315,0.9049
2017-06-06,0.90491,0.91552,0.90489,0.91437
2017-06-07,0.91442,0.91643,0.91007,0.91083
2017-06-08,0.91082,0.9142,0.90596,0.90993
2017-06-09,0.91027,0.91061,0.90245,0.90716
2017-06-12,0.90576,0.91209,0.90545,0.90988
2017-06-13,0.90976,0.91052,0.90686,0.90845
2017-06-14,0.90845,0.91869,0.90626,0.91179
2017-06-15,0.91181,0.91514,0.9011,0.90181
2017-06-16,0.90183,0.90373,0.89753,0.90227
2017-06-19,0.90225,0.90258,0.89606,0.89631
2017-06-20,0.89631,0.89838,0.89461,0.89722
2017-06-21,0.8972,0.90033,0.89501,0.89763
2017-06-22,0.89747,0.90127,0.89728,0.89861
2017-06-23,0.89858,0.89959,0.89745,0.8988
2017-06-26,0.89867,0.89926,0.89336,0.89402
2017-06-27,0.89401,0.89712,0.88918,0.89062
2017-06-28,0.89065,0.89417,0.88958,0.89066
2017-06-29,0.89056,0.89427,0.88553,0.89186
2017-06-30,0.89185,0.89494,0.88808,0.88914
2017-07-03,0.89107,0.89128,0.88129,0.88185
2017-07-04,0.88184,0.88694,0.88176,0.88255
2017-07-05,0.88254,0.88629,0.87962,0.88342
2017-07-06,0.88343,0.88576,0.88129,0.88356
2017-07-07,0.88356,0.88413,0.8758,0.878
2017-07-10,0.87694,0.87789,0.87488,0.87669
2017-07-11,0.8767,0.87936,0.8734,0.87742
2017-07-12,0.87744,0.88548,0.87744,0.88349
2017-07-13,0.88347,0.88597,0.88088,0.88271
2017-07-14,0.88271,0.89066,0.88046,0.88853
2017-07-17,0.889,0.89023,0.88599,0.88786
2017-07-18,0.88779,0.89536,0.88763,0.89229
2017-07-19,0.89232,0.89639,0.89104,0.89381
2017-07-20,0.89374,0.89692,0.88953,0.89402
2017-07-21,0.89408,0.90077,0.89225,0.9001
2017-07-24,0.89973,0.90395,0.89848,0.89947
2017-07-25,0.89947,0.90228,0.89319,0.89387
2017-07-26,0.89387,0.90041,0.89138,0.89993
2017-07-27,0.89987,0.90262,0.89517,0.89825
2017-07-28,0.89825,0.90454,0.89825,0.90432
2017-07-31,0.90367,0.90732,0.90282,0.90701
2017-08-01,0.90697,0.90956,0.90424,0.90605
2017-08-02,0.90598,0.90668,0.90104,0.90302
2017-08-03,0.90302,0.91021,0.90232,0.90926
2017-08-04,0.90929,0.91036,0.9005,0.90345
2017-08-07,0.90288,0.90377,0.90155,0.9028
2017-08-08,0.90278,0.90701,0.9023,0.90645
2017-08-09,0.90645,0.91273,0.90645,0.9097
2017-08-10,0.90969,0.91643,0.90761,0.91621
2017-08-11,0.91618,0.91916,0.91423,0.91658
2017-08-14,0.91667,0.91667,0.91076,0.91227
2017-08-15,0.91233,0.91233,0.90215,0.90429
2017-08-16,0.90425,0.90855,0.90134,0.90812
2017-08-17,0.90812,0.91384,0.90615,0.91384
2017-08-18,0.91372,0.92073,0.91243,0.91627
2017-08-21,0.91509,0.92045,0.91388,0.91787
2017-08-22,0.91783,0.91831,0.91197,0.91251
2017-08-23,0.91252,0.91805,0.91054,0.91781
2017-08-24,0.91776,0.91868,0.91238,0.91274
2017-08-25,0.91271,0.91642,0.91044,0.91495
2017-08-28,0.91528,0.91951,0.91399,0.91917
2017-08-29,0.91918,0.92362,0.90993,0.91209
2017-08-30,0.91208,0.91287,0.90547,0.90714
2017-08-31,0.90713,0.91004,0.90359,0.90951
2017-09-01,0.90958,0.91268,0.90562,0.90691
2017-09-04,0.91195,0.91419,0.9097,0.91159
2017-09-05,0.91162,0.92052,0.91047,0.91957
2017-09-06,0.91978,0.92203,0.91411,0.91537
2017-09-07,0.91537,0.92537,0.91521,0.92258
2017-09-08,0.92259,0.93175,0.92178,0.92777
2017-09-11,0.92385,0.92444,0.91318,0.91429
2017-09-12,0.91434,0.91538,0.907,0.90779
2017-09-13,0.90779,0.9098,0.90342,0.90503
2017-09-14,0.90499,0.90842,0.90067,0.90714
2017-09-15,0.90714,0.91263,0.89821,0.90219
2017-09-18,0.89978,0.90091,0.89554,0.89641
2017-09-19,0.89639,0.89922,0.89381,0.89623
2017-09-20,0.89627,0.899,0.88864,0.89046
2017-09-21,0.89049,0.89177,0.88719,0.88962
2017-09-22,0.88958,0.89562,0.88845,0.89235
2017-09-25,0.89143,0.89703,0.88875,0.89511
2017-09-26,0.89511,0.89685,0.88916,0.89092
2017-09-27,0.89091,0.89096,0.88298,0.88641
2017-09-28,0.88645,0.89082,0.88339,0.89036
2017-09-29,0.89035,0.89111,0.8871,0.88883
2017-10-02,0.88875,0.88881,0.88452,0.88713
2017-10-03,0.88713,0.88759,0.88344,0.88581
2017-10-04,0.88581,0.89027,0.88544,0.88654
2017-10-05,0.88655,0.88952,0.88565,0.88661
2017-10-06,0.88658,0.88776,0.88153,0.88767
2017-10-09,0.88751,0.89023,0.88695,0.88762
2017-10-10,0.8876,0.89292,0.88633,0.88989
2017-10-11,0.88989,0.89219,0.88824,0.88881
2017-10-12,0.88882,0.89184,0.88872,0.89064
2017-10-13,0.89064,0.89534,0.89042,0.89378
2017-10-16,0.89368,0.89562,0.89056,0.89169
2017-10-17,0.89169,0.89255,0.88906,0.89129
2017-10-18,0.89131,0.89173,0.88456,0.88527
2017-10-19,0.88525,0.89035,0.8838,0.88836
2017-10-20,0.88837,0.88876,0.88053,0.88079
2017-10-23,0.87843,0.88303,0.87642,0.88122
2017-10-24,0.88122,0.88292,0.87715,0.87776
